rank,need_score,name,city,state,address,zip,ein,website,phone,email,pastor_name,attendance_est,poverty_rate_pct,poverty_count,poverty_universe,median_income,median_age,unemployment_rate_pct,median_home_value,total_population,tract_fips,food_desert_flag,has_food_pantry,has_youth,has_children,has_seniors,has_recovery,has_missions,latitude,longitude,source,association,staff_count,campus_count,spanish_language,primary_language
1,130.6,WINGATE BAPTIST CHURCH,FORT WINGATE,NM,PO BOX 295,87316-0295,432075664,https://churches.sbc.net/church/wingate-baptist-church/,,,,0,35.7,25117,70388,44496,34.0,8.6,72100,71172,,,0,0,0,0,0,0,35.364684,-108.379958,irs,,0,1,false,
2,130.6,WOODLAND BAPTIST CHURCH,MARKS,MS,RR 1 BOX 67,38646-9723,640909464,https://churches.sbc.net/church/woodland-baptist-church-10/,,,REV KELLY MCDUFFIE,0,33.5,1920,5736,32131,41.0,10.6,68600,5908,,,0,0,0,0,0,0,34.289637,-90.314386,irs,,0,1,false,
3,130.6,EMMANUEL BAPTIST CHURCH,GALLUP,NM,1630 7TH ST,87305-2320,850315460,https://emmanuel-baptist-church.com,,,,0,35.7,25117,70388,44496,34.0,8.6,72100,71172,,,0,0,1,0,1,0,35.382497,-108.804064,irs,,0,1,false,
4,130.6,FIRST BAPTIST CHURCH OF THOREAU,THOREAU,NM,PO BOX 473,87323-0473,850319593,https://churches.sbc.net/church/first-baptist-church-of-thoreau/,(505) 862-7746,,,0,35.7,25117,70388,44496,34.0,8.6,72100,71172,,,0,0,0,0,0,0,35.457714,-108.193532,irs,,0,1,false,
5,128.4,EMMANUEL BAPTIST CHURCH,WAR,WV,PO BOX 823,24892-0823,550620098,https://emmanuel-baptist-church.com,,,,0,30.9,5054,16335,29980,43.0,13.0,49200,18413,,,0,0,1,0,1,0,37.32694,-81.687785,irs,,0,1,false,
6,126.0,FIRST BAPTIST CHURCH OF RIO GRANDE CITY,RIO GRANDE CY,TX,PO BOX 507,78582-0507,270886722,https://churches.sbc.net/church/first-baptist-church-of-rio-grande-city/,,,PASTOR,0,33.5,21862,65265,38182,29.0,9.8,93300,65809,,,0,0,0,0,0,0,26.546335,-98.715803,irs,,0,1,false,
7,126.0,GRACE POINT CHURCH,GRULLA,TX,PO BOX 34,78548-0034,742728496,https://churches.sbc.net/church/grace-point-church-8/,,,,0,33.5,21862,65265,38182,29.0,9.8,93300,65809,,,0,0,0,0,0,0,26.274827,-98.654824,irs,,0,1,false,
8,123.8,MACEDONIA,BOLIGEE,AL,7885 COUNTY RD 131,35443-0000,630741157,http://macedonia.org,,,,0,35.9,2697,7510,31495,44.0,3.2,86400,7589,,,0,0,0,0,0,1,32.755279,-88.000762,irs,,0,1,false,
9,123.8,PINE GROVE,BOLIGEE,AL,26154 COUNTY ROAD 13,35443-4214,810566879,https://churches.sbc.net/church/pine-grove-4/,,,,0,35.9,2697,7510,31495,44.0,3.2,86400,7589,,,0,0,0,0,0,0,32.755279,-88.000762,irs,,0,1,false,
10,117.8,CROSSROADS COMMUNITY BAPTIST CHURCH,WHITLEY CITY,KY,PO BOX 52,42653-0052,900608406,https://churches.sbc.net/church/crossroads-community-baptist-church/,,,,0,35.1,5358,15246,37355,38.0,2.3,77000,16905,,,0,0,0,0,0,0,36.783103,-84.453492,irs,,0,1,false,
11,115.8,FAIRMOUNT BAPTIST CHURCH,SPARTA,GA,2265 HICKORY GROVE CHURCH RD,31087-8522,581913689,https://churches.sbc.net/church/fairmount-baptist-church-2/,3329590000,,,0,31.5,2154,6837,33182,47.0,5.6,87400,8630,,,0,0,0,0,0,0,33.28449583558,-82.861985484726,irs,,0,1,false,
12,115.0,AIMWELL BAPTIST CHURCH,ORRVILLE,AL,9641 AL HIGHWAY 22 W,36767-3177,631262605,https://churches.sbc.net/church/aimwell-baptist-church/,,,,0,29.0,10748,37061,36810,40.0,9.8,97400,37536,,,0,0,0,0,0,0,32.346123051225,-87.179864163571,irs,,0,1,false,
13,109.8,MAUK BAPTIST CHURCH,MAUK,GA,PO BOX 5,31058-0005,223931286,https://churches.sbc.net/church/mauk-baptist-church/,4211269999,,,0,29.4,2242,7631,41743,42.0,6.7,82900,7786,,,0,0,0,0,0,0,32.488651,-84.410396,irs,,0,1,false,
14,109.8,EL BETHEL BAPTIST CHURCH,MILAN,GA,PO BOX 367,31060-0000,581571109,https://churches.sbc.net/church/el-bethel-baptist-church-5/,,,,0,31.0,3026,9758,44948,39.0,4.7,108200,12174,,,0,0,0,0,0,0,31.975665,-83.063507,irs,,0,1,false,
15,109.8,MOORES CHAPEL BAPTIST CHURCH,MAUK,GA,PO BOX 22,31058-0022,450550733,https://churches.sbc.net/church/moores-chapel-baptist-church-2/,(706) 617-2516,,,0,29.4,2242,7631,41743,42.0,6.7,82900,7786,,,0,0,0,0,0,0,32.488651,-84.410396,irs,,0,1,false,
16,109.8,BLOCKHOUSE BAPTIST CHURCH,JACKSONVILLE,GA,PO BOX 96,31544-0096,582529800,https://churches.sbc.net/church/blockhouse-baptist-church/,0136040000,,,0,31.0,3026,9758,44948,39.0,4.7,108200,12174,,,0,0,0,0,0,0,31.840713,-82.963561,irs,,0,1,false,
17,109.0,WAKE EDEN COMMUNITY BAPTIST CHURCH,BRONX,NY,2074 STRANG AVE,10466-2343,133080758,https://churches.sbc.net/church/wake-eden-community-baptist-church/,718-325-8056,,,0,27.0,374138,1388414,49036,35.0,10.0,517000,1419250,36005042600,0,0,0,0,0,0,0,40.890705110361,-73.839892074608,irs,,0,1,false,
18,109.0,BRONX BAPTIST CHURCH,BRONX,NY,331 E 187TH ST,10458-5708,133204177,https://churches.sbc.net/church/bronx-baptist-church/,718-933-4095,,,0,27.0,374138,1388414,49036,35.0,10.0,517000,1419250,36005039902,0,0,0,0,0,0,0,40.859785992971,-73.895694956092,irs,,0,1,false,
19,109.0,GETHSEMANE BAPTIST CHURCH,BRONX,NY,771 FAIRMOUNT PL,10460-4126,133340224,https://gethsemane-baptist-church.org,,,,0,27.0,374138,1388414,49036,35.0,10.0,517000,1419250,36005036502,0,0,0,0,0,0,0,40.84258129944,-73.888651118466,irs,,0,1,false,
20,108.8,MT CALVARY BAPTIST CHURCH INC,BLACKVILLE,SC,10574 HWY 37,29817-0000,043649877,,,,,0,28.5,5750,20153,41800,40.0,6.7,97200,20565,45011970102,,0,0,0,0,0,0,33.408135535432,-81.340535708237,irs,,0,1,false,
21,108.5,BEACON LIGHT BAPTIST CHURCH,SAINT CHARLES,VA,2277 MONARCH RD,24282-8038,541162130,https://churches.sbc.net/church/beacon-light-baptist-church/,(276) 298-7579,,PASTOR,0,27.6,5617,20361,42269,45.0,8.5,98700,22042,,,0,0,0,0,0,0,36.82830037776,-83.036105743122,irs,,0,1,false,
22,108.5,LONE BRANCH BAPTIST CHURCH,JONESVILLE,VA,8058 LOWER WALLENS CREEK RD,24263-6659,541570145,https://churches.sbc.net/church/lone-branch-baptist-church/,276-346-1583,,PASTOR,0,27.6,5617,20361,42269,45.0,8.5,98700,22042,,,0,0,0,0,0,0,36.604674746907,-83.181632225049,irs,,0,1,false,
23,108.1,HARMONY BAPTIST CHURCH,FARFAX,SC,1959 WOODTRAIL DR,29827-0000,800852602,https://harmony.church,,,,0,26.5,1824,6889,31603,42.0,9.7,61600,7738,,,0,0,0,0,0,1,32.963155,-81.253906,irs,,0,1,false,
24,108.1,FAIRFAX FIRST BAPTIST CHURCH,FAIRFAX,SC,PO BOX 820,29827-0820,570400014,https://nazarenemissionarybaptistfairfax.business.site,+1-803-632-3433,,,0,26.5,1824,6889,31603,42.0,9.7,61600,7738,,,0,0,0,0,0,0,32.963155,-81.253906,irs,,0,1,false,
25,108.1,ALLENDALE FIRST BAPTIST CHURCH,ALLENDALE,SC,259 MEMORIAL AVE S,29810-3646,570423058,https://churches.sbc.net/church/allendale-first-baptist-church/,803-584-2318,,,0,26.5,1824,6889,31603,42.0,9.7,61600,7738,,,0,0,0,0,0,0,32.986368,-81.37811,irs,,0,1,false,
