rank,name,city,county,opportunity_score,county_decline_pct,zip_immigrant_pct,zip_hisp_pct,zip_asian_pct,catchment_pop_15km,est_immigrant_pop_15km,acs_poverty_rate,acs_median_income,acs_median_age,acs_unemployment_rate,address,zip,latitude,longitude,website,phone,email,source,attendance_arda,association,building_sqft,capacity_estimate,parking_spots,building_year,closed_year,tract_fips,rucc_description
1,CENTERPOINT CHURCH AT REMOUNT,Charleston,Charleston,74.1,27.9,18.9,16.1,2.8,349269,66011,0.1164,84320,39.0,0.0347,1520 Remount Road,29406,32.90077173033,-80.003087625523,https://churches.sbc.net/church/centerpoint-church-at-remount,843-744-6229,,irs+holy_sites_enrichment,0,,21784.34,1452,363,,,,
2,RESTORATION COMMUNITY CHURCH OF CHARLESTON,Charleston,Charleston,73.6,27.9,18.9,16.1,2.8,335879,63481,0.1164,84320,39.0,0.0347,7620 Rivers Avenue Suite 370 Pmb 111,29406,32.939685492775,-80.039878325777,https://churches.sbc.net/church/restoration-community-church-of-charleston,,,irs+holy_sites_enrichment,0,,401064.78,26738,6684,,,45019003104,
3,DEER PARK BAPTIST CHURCH,Charleston,Charleston,73.3,27.9,18.9,16.1,2.8,330085,62386,0.1164,84320,39.0,0.0347,8875 Old University Boulevard,29406,32.972642880428,-80.054896155301,https://churches.sbc.net/church/deer-park-baptist-church,843-553-1172,,irs+holy_sites_enrichment,0,,10310.41,687,172,,,,
4,CHURCH242,Hanahan,Berkeley,65.9,27.3,15.5,12.3,3.2,325865,50509,,,,,,29410,32.944923925432,-80.011295027763,,,,holy_sites_import,,,4481.18,299,75,,,,
5,HIGHLAND PARK BAPTIST CHURCH,Hanahan,Berkeley,65.9,27.3,15.5,12.3,3.2,327424,50750,0.1032,82327,36.0,0.0352,6211 Murray Drive,29410,32.920571595331,-80.013820149085,https://fostercreekbaptist.org/about/planning-your-visit,+1 843 277 2007,,irs+holy_sites_enrichment,0,,43443.02,2896,724,,,,
6,RESTORATION COMMUNITY CHURCH OF CHARLESTON,Hanahan,Berkeley,65.9,27.3,15.5,12.3,3.2,325865,50509,,,,,,29410,32.944923925432,-80.011295027763,,,,holy_sites_import,,,4481.18,299,75,,,,
7,ROMANS RETREAT,Daufuskie Island,Beaufort,64.9,29.2,31.5,31.5,0,37147,11701,0.1048,84819,47.0,0.0288,228 School Road,29915,32.104930372172,-80.877151234641,,,,irs+holy_sites_enrichment,0,,5258.8,351,88,,,,
8,REEDY RIVER BAPTIST CHURCH,Greenville,Greenville,63.8,10.6,24.3,23.2,1.1,381895,92800,0.11,74624,38.0,0.0408,1012 Mauldin Road,29617,34.784606778588,-82.351685879251,https://www.reedyriverbc.org,864-834-7681,,irs+holy_sites_enrichment,0,,24307.36,1620,405,,,,
9,HARBOUR LAKE BAPTIST CHURCH,Goose Creek,Berkeley,63.2,27.3,14.4,10.4,4.0,312878,45054,0.1032,82327,36.0,0.0352,1056 Red Bank Road,29445,32.972403634894,-80.019404963751,https://churches.sbc.net/church/harbour-lake-baptist-church,843-797-2982,,irs+holy_sites_enrichment,0,,24426.81,1628,407,,,,
10,CHURCH AT CANE BAY,Goose Creek,Berkeley,63.1,27.3,14.4,10.4,4.0,310151,44661,0.1032,82327,36.0,0.0352,205 Saint James Avenue Suite 2 Pmb 185,29445,33.005633060092,-80.043953284978,https://churches.sbc.net/church/the-church-at-cane-bay,,,irs+holy_sites_enrichment,0,,20336.67,1356,339,,,45015020723,
