rank,name,city,county,opportunity_score,county_decline_pct,zip_immigrant_pct,zip_hisp_pct,zip_asian_pct,catchment_pop_15km,est_immigrant_pop_15km,acs_poverty_rate,acs_median_income,acs_median_age,acs_unemployment_rate,address,zip,latitude,longitude,website,phone,email,source,attendance_arda,association,building_sqft,capacity_estimate,parking_spots,building_year,closed_year,tract_fips,rucc_description
1,FAIRVIEW BAPTIST CHURCH,Kinards,Newberry,76.6,29.6,18.7,16.7,2.0,11454,2141,,,,,,29355,34.35409490708,-81.80132375775,,,,holy_sites_import,,,2619.64,175,44,,,,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
2,GLENN STREET BAPTIST CHURCH,Newberry,Newberry,74.9,29.6,13.1,13.0,0.1,28397,3720,0.1601,59670,42.0,0.035,300 Glenn Street,29108,34.268481925283,-81.605835581991,https://churches.sbc.net/church/glenn-street-baptist-church,803-276-0654,,irs+holy_sites_enrichment,0,,16351.12,1090,273,,,,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
3,ENOREE BAPTIST CHURCH,Newberry,Newberry,74.6,29.6,13.1,13.0,0.1,23938,3135,,,,,,29108,34.275124078451,-81.61793410295,,,,holy_sites_import,,,20172.26,1345,336,,,,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
4,CALLIE SELF MEMORIAL BAPTIST CHURCH,Greenwood,Greenwood,69.4,23.8,11.5,11.4,0.1,63311,7280,0.1711,50635,39.0,0.045,509 Kirksey Drive West,29646,34.160217234167,-82.141356515161,https://churches.sbc.net/church/callie-self-memorial-baptist-church,864-227-2881,,irs+holy_sites_enrichment,0,,15796.24,1053,263,,,,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
5,CONNIE MAXWELL BAPTIST CHURCH,Greenwood,Greenwood,69.1,23.8,11.5,11.4,0.1,59530,6845,0.1711,50635,39.0,0.045,810 Maxwell Avenue,29646,34.183867294116,-82.1783807986,https://churches.sbc.net/church/connie-maxwell-baptist-church,864-942-1401,,irs+holy_sites_enrichment,0,,10788.6,719,180,,,,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
6,FRIENDSHIP BAPTIST CHURCH OF GRESHAM,Gresham,Marion,67.3,21.6,13.2,13.2,0,4190,553,0.2732,34501,43.0,0.0554,6133 Highway 9,29546,34.018354517854,-79.430143633512,,,,irs+holy_sites_enrichment,0,,4933.55,329,82,,,,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
7,IGLESIA CRISTIANA LA ROCA,Walhalla,Oconee,67.3,12.9,17.3,16.8,0.5,35337,6113,,,,,,29691,34.782583,-83.083166,,,,holy_sites_import,,,3015.44,201,50,,,,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
8,PLEASANT HILL BAPTIST CHURCH,Walhalla,Oconee,67.3,12.9,17.3,16.8,0.5,35337,6113,,,,,,29691,34.782583,-83.083166,,,,holy_sites_import,,,3015.44,201,50,,,,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
9,POPLAR SPRINGS BAPTIST CHURCH,Walhalla,Oconee,67.3,12.9,17.3,16.8,0.5,35337,6113,0.1638,60193,46.0,0.0572,PO Box 124,29691,34.782583,-83.083166,https://poplarspringsbaptistchurch.net,864-638-5400,info@poplarspringsbaptist.org,irs+holy_sites_enrichment,0,,3015.44,201,50,,,,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
10,ASHTON BAPTIST CHURCH,Lodge,Colleton,65.6,13.9,19.3,13.4,5.9,2525,487,0.1869,48779,42.0,0.0853,5156 Willow Swamp Road,29082,33.016225377719,-80.96464516476,https://churches.sbc.net/church/ashton-baptist-church,843-866-2496,,irs+holy_sites_enrichment,0,,4182.31,279,70,,,45029970200,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
11,FAIRVIEW BAPTIST CHURCH,Mount Croghan,Chesterfield,58.0,14.6,15.8,15.7,0.1,16820,2657,,,,,,29727,34.719265,-80.264601,,,,holy_sites_import,,,710.06,47,12,,,,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
12,MT CROGHAN BAPTIST CHURCH,Mount Croghan,Chesterfield,58.0,14.6,15.8,15.7,0.1,16820,2657,0.2016,47620,42.0,0.0746,PO Box 57,29727,34.719265,-80.264601,https://churches.sbc.net/church/mt-croghan-baptist-church,7712360000,,irs+holy_sites_enrichment,0,,710.06,47,12,,,,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
13,SPRING HILL BAPTIST CHURCH,Cottageville,Colleton,55.1,13.9,11.5,11.5,0,19635,2258,,,,,,29435,32.928850514954,-80.517349155544,,,,holy_sites_import,,,2071.4,138,35,,,,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
14,ABNEY MEMORIAL BAPTIST CHURCH,Greenwood,Greenwood,53.1,23.8,11.5,11.4,0.1,59171,6804,0.1711,50635,39.0,0.045,210 Bypass 225,29646,34.136053,-82.14847,https://churches.sbc.net/church/abney-memorial-baptist-church,864-227-8601,,irs+holy_sites_enrichment,0,,,,,,,,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
15,DEEP BRANCH BAPTIST CHURCH,Varnville,Hampton,52.4,11.7,9.7,8.1,1.6,13125,1273,,,,,,29944,32.846616236222,-81.070557167997,,,,holy_sites_import,,,4338.43,289,72,,,,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
16,MIZPAH BAPTIST CHURCH OF IONIA,Camden,Lee,52.0,24.1,5.5,5.0,0.5,14311,787,0.1407,64343,40.0,0.0468,3659 Jamestown Road,29020,34.205688532187,-80.407065495318,,,,irs+holy_sites_enrichment,0,,4425.0,295,74,,,,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
