id,name,address,city,state,zip,source,denomination,county_name,country
,EVENTS,,,,,seacoast_scraper,Non-Denominational / Independent,,US
,GPX (ALL COORDINATES),,,,,wikipedia_list,Anglican,,EU
,GPX (PRIMARY COORDINATES),,,,,wikipedia_list,Anglican,,EU
,GPX (SECONDARY COORDINATES),,,,,wikipedia_list,Anglican,,EU
,CHELMSFORD CATHEDRAL,,,,,wikipedia_list,Anglican,,EU
,"CHURCH OF ST MARY THE GREAT, CAMBRIDGE",,,,,wikipedia_list,Anglican,,EU
,ELY CATHEDRAL,,,,,wikipedia_list,Anglican,,EU
,GREENSTED CHURCH,,,,,wikipedia_list,Anglican,,EU
,"HOLY TRINITY CHURCH, LONG MELFORD",,,,,wikipedia_list,Anglican,,EU
,KING'S LYNN MINSTER,,,,,wikipedia_list,Anglican,,EU
,NORWICH CATHEDRAL,,,,,wikipedia_list,Anglican,,EU
,PETERBOROUGH CATHEDRAL,,,,,wikipedia_list,Anglican,,EU
,ST ALBANS CATHEDRAL,,,,,wikipedia_list,Anglican,,EU
,ST EDMUNDSBURY CATHEDRAL,,,,,wikipedia_list,Anglican,,EU
,"ST HELEN'S, RANWORTH",,,,,wikipedia_list,Anglican,,EU
,"ST MARY'S, EAST BERGHOLT",,,,,wikipedia_list,Anglican,,EU
,"ST MICHAEL THE ARCHANGEL, FRAMLINGHAM",,,,,wikipedia_list,Anglican,,EU
,"ST NICHOLAS, BLAKENEY",,,,,wikipedia_list,Anglican,,EU
,"ST PETER AND ST PAUL'S CHURCH, LAVENHAM",,,,,wikipedia_list,Anglican,,EU
,"ST PETER AND ST PAUL'S CHURCH, SALLE",,,,,wikipedia_list,Anglican,,EU
,"ST PETER MANCROFT, NORWICH",,,,,wikipedia_list,Anglican,,EU
,WYMONDHAM ABBEY,,,,,wikipedia_list,Anglican,,EU
,"ALL SAINTS' CHURCH, NORTHAMPTON",,,,,wikipedia_list,Anglican,,EU
,DERBY CATHEDRAL,,,,,wikipedia_list,Anglican,,EU
