Total records with legal-entity prefixes: 1,360

================================================================================
       #  Len  Name
================================================================================
  [     1] (120) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF HUDSON'S BAY LA CORPORATION EPISCOPAL CATHOLIQUE ROMAINE DE LA BAIE D'HUDSON
  [     2] (108) CORPORATION EPISCOPALE CATHOLIQUE ROMAINE DE LA BAIE JAMES/ROMAN CATHOLIC EPISCOPAL CORPORATION OF JAMES BAY
  [     3] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
  [     4] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
  [     5] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
  [     6] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
  [     7] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
  [     8] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
  [     9] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
  [    10] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
  [    11] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
  [    12] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
  [    13] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
  [    14] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
  [    15] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
  [    16] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
  [    17] ( 99) THE ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF ALEXANDRIA-CORNWALL, IN ONTARIO, CANADA
