church_name,denomination,family,address,city_state,zip,phone,website,page_url,irs_ein,irs_address,irs_city,irs_state,irs_zip
Asian Indian Christian Church,Advent Christian General Conference,Adventist Churches,"1200 Swingingdale Dr, Silver Spring, MD 20905","1200 Swingingdale Dr, Silver Spring, MD",20905,(301) 890-1067,https://indianoutreach.org,https://www.usachurches.org/church/asian-indian-christian-church.htm,043612980,21880 MILLISON LN STE C,LEXINGTON PK,MD,20653-5513
Maranatha Seventh-Day Adventist Christian Church,Seventh-day Adventist Church,Adventist Churches,"6163 S Midvale Park Rd, Tucson, AZ 85746","6163 S Midvale Park Rd, Tucson, AZ",85746,(520) 661-9787,https://tucsonmaranatha.com,https://www.usachurches.org/church/maranathaseventhdayadventistchristianchurch.htm,753254922,2317 N CAMINO EMILIANO,TUCSON,AZ,85745-1346
The Place Adventist Fellowship,Seventh-day Adventist Church,Adventist Churches,"2697 Lavery Ct, Thousand Oaks, CA 91320","2697 Lavery Ct, Thousand Oaks, CA",91320,(805) 498-2300,https://theplacechurch.com,https://www.usachurches.org/church/the-place-adventist-fellowship.htm,953078320,2401 E GLENOAKS BLVD,GLENDALE,CA,91206-3027
Fulton County Mission Group,Seventh-day Adventist Church,Adventist Churches,"3510 Atlanta Ave, Hapeville, GA 30354","3510 Atlanta Ave, Hapeville, GA",30354,(678) 653-3554,,https://www.usachurches.org/church/fulton-county-seventh-day-adventist-mission-group.htm,582665129,1560 OLD ALABAMA RD,ROSWELL,GA,30076-2102
New Beginnings Christian Community,American Baptist Churches in the USA,Baptist Churches,"1000 Belmont Ave, Charlottesville, VA 22902","1000 Belmont Ave, Charlottesville, VA",22902,(434) 872-0800,https://newbeginningschristiancommunity.com,https://www.usachurches.org/church/new-beginnings-christian-community.htm,542057721,1515 STONEY CREEK DR,CHARLOTTESVLE,VA,22902-7239
Clarity Church,Converge Worldwide,Baptist Churches,"8925 Zane Ave N, Brooklyn Park, MN 55443","8925 Zane Ave N, Brooklyn Park, MN",55443,(612) 567-3121,https://claritychurch.org,https://www.usachurches.org/church/clarity-church.htm,461511800,10754 RHODE ISLAND AVE N,MINNEAPOLIS,MN,55445-1208
Renovation Church,Converge Worldwide,Baptist Churches,"2350 124th Ct, Minneapolis, MN 55449","2350 124th Ct, Minneapolis, MN",55449,(763) 291-6744,https://renovationchurch.org,https://www.usachurches.org/church/renovation-church.htm,800383341,12390 FRAIZER ST NE,BLAINE,MN,55449-3503
Ezra Church,Converge Worldwide,Baptist Churches,"151 and 90/94 (5202 High Crossing Blvd, Madison, WI 53718","151 and 90/94 (5202 High Crossing Blvd, Madison, WI",53718,(608) 834-9050,https://ezrachurch.com,https://www.usachurches.org/church/ezra-church.htm,200655547,2308 E BELLEVIEW PL,MILWAUKEE,WI,53211-4101
River Oaks Community Church,Converge Worldwide,Baptist Churches,"7921 Ray Road, Raleigh, NC 27613","7921 Ray Road, Raleigh, NC",27613,(919) 669-6530,,https://www.usachurches.org/church/river-oaks-community-church.htm,562120114,1855 LEWISVILLE CLEMMONS RD,CLEMMONS,NC,27012-8333
Inspiration Fellowship,Cooperative Baptist Fellowship,Baptist Churches,"300 N Third St, Hamilton, OH 45011","300 N Third St, Hamilton, OH",45011,(513) 878-0366,,https://www.usachurches.org/church/inspiration-fellowship.htm,311265471,54120 FELLOWSHIP DR,LONG BOTTOM,OH,45743-9805
Praise Temple of Restoration,"Full Gospel Baptist Church Fellowship, International",Baptist Churches,"3151 W Walnut St, Chicago, IL 60612","3151 W Walnut St, Chicago, IL",60612,(773) 801-0970,https://praisetemplechurch.org,https://www.usachurches.org/church/praise-temple-of-restoration.htm,363886435,PO BOX 528,FOREST PARK,IL,60130-0528
