EIN,NAME,CITY,STATE,ASSET_AMT,NTEE_CD,EMAIL,DOMAIN,METHOD,EMAIL_VERIFIED,VERIFY_METHOD,ENRICHED_EMAIL,ENRICH_METHOD,SES_IS_VALID,SES_SYNTAX,SES_DNS,SES_MAILBOX,SES_ROLE,SES_DISPOSABLE,SES_RANDOM
521951681,ANNIE E CASEY FOUNDATION,BALTIMORE,MD,2287152244,T21,info@caseyfoundation.com,caseyfoundation.com,dns_info,error,timeout_connecting_caseyfoundation.com,domain.operations@web.com,whois,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,LOW
061547852,PETER AND CARMEN LUCIA BUCK FOUNDATION INC,MYSTIC,CT,2838832516,T20,info@buckfoundation.com,buckfoundation.com,dns_info,error,timeout_connecting_buckfoundation.com,,,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,LOW
263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,NEW YORK,NY,10843807551,T22,info@societyfoundation.com,societyfoundation.com,dns_info,error,timeout_connecting_mailstore1.secureserver.net,,,MEDIUM,HIGH,HIGH,LOW,HIGH,LOW,LOW
372090276,SAROFIM FOUNDATION,HOUSTON,TX,2567962045,T20,info@sarofimfoundation.org,sarofimfoundation.org,dns_info,error,timeout_connecting_sarofimfoundation-org.mail.protection.outlook.com,domain.operations@web.com,whois,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,LOW,LOW
943100217,CONRAD N HILTON FOUNDATION,WESTLAKE VLG,CA,7362883680,T22,info@hiltonfoundation.com,hiltonfoundation.com,dns_info,error,timeout_connecting_hiltonfoundation.com,domain.operations@web.com,whois,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,LOW
650464177,JOHN S AND JAMES L KNIGHT FOUNDATION INC,MIAMI,FL,2533415674,B82,info@knightfoundation.org,knightfoundation.org,dns_info,error,timeout_connecting_us-smtp-inbound-1.mimecast.com,,,MEDIUM,HIGH,HIGH,LOW,HIGH,LOW,LOW
237093598,JOHN D & CATHERINE T MACARTHUR FOUNDATION,CHICAGO,IL,9311570852,T20Z,info@macarthurfoundation.com,macarthurfoundation.com,dns_info,error,timeout_connecting_macarthurfoundation.com,,,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,LOW
205602483,BLOOMBERG FAMILY FOUNDATION INC,NEW YORK,NY,12117236821,T20,info@bloombergfoundation.com,bloombergfoundation.com,dns_info,error,timeout_connecting_custmx.cscdns.net,,,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,LOW,LOW
526037034,THE HARRY & JEANETTE WEINBERG FOUNDATION INC,OWINGS MILLS,MD,1817175104,T21,info@weinbergfoundation.org,weinbergfoundation.org,dns_info,error,timeout_connecting_weinbergfoundation-org.mail.protection.outlook.com,,,MEDIUM,HIGH,HIGH,LOW,HIGH,LOW,LOW
131879954,ANDREW W MELLON FOUNDATION,NEW YORK,NY,7820349022,B82,info@mellonfoundation.com,mellonfoundation.com,dns_info,error,timeout_connecting_mellonfoundation.com,,,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,LOW
