email,domain,valid,fraud_score,generic,risky,org_name,industry,org_size,description
info@morrisfoundation.org,morrisfoundation.org,False,91,True,False,morris foundation,mental health care,11,
info@weatherfoundation.org,weatherfoundation.org,False,96,True,False,,,,
grants@lillyfoundation.org,lillyfoundation.org,False,91,True,False,,,,
info@vikingfoundation.org,vikingfoundation.org,False,91,True,False,,,,
contact@ronald-foundation.org,ronald-foundation.org,False,96,True,False,,,,
info@sciencefoundation.org,sciencefoundation.org,False,96,True,False,,,,
scholarships@vista-foundation.org,vista-foundation.org,False,91,True,False,,,,
info@wildfoundation.org,wildfoundation.org,True,75,True,False,,,,
contact@londonfoundation.org,londonfoundation.org,False,91,True,False,,,,
info@youthfoundation.org,youthfoundation.org,False,100,True,False,,,,
info@rowanfoundation.org,rowanfoundation.org,True,0,True,False,,,,
contact@salvationfoundation.org,salvationfoundation.org,False,96,True,False,,,,
admin@sikafoundation.org,sikafoundation.org,False,91,True,False,,,,
foundation@endowment.org,endowment.org,False,91,True,False,,,,
contact@cargillfoundation.org,cargillfoundation.org,False,96,True,False,,,,
grants@ralstonfoundation.org,ralstonfoundation.org,False,96,True,False,,,,
admin@nucorfoundation.org,nucorfoundation.org,False,91,True,False,,,,
foundation@wavefoundation.org,wavefoundation.org,True,0,True,False,,,,
grants@rochefoundation.org,rochefoundation.org,False,91,True,False,,,,
info@taylorfoundation.org,taylorfoundation.org,False,91,True,False,,,,
info@mcknightfoundation.org,mcknightfoundation.org,False,96,True,False,mcknight foundation,philanthropy,74,
info@boeingfoundation.org,boeingfoundation.org,False,91,True,False,,,,
info@hewlettfoundation.org,hewlettfoundation.org,False,96,True,False,,,,
admin@vonfoundation.org,vonfoundation.org,False,91,True,False,,,,
scholarships@zimmermanfoundation.org,zimmermanfoundation.org,False,96,True,False,,,,
foundation@susanfoundation.org,susanfoundation.org,False,91,True,False,,,,
info@regalfoundation.org,regalfoundation.org,False,91,True,False,,,,
grants@bloombergfoundation.org,bloombergfoundation.org,True,0,False,False,,,,
scholarships@hartfordfoundation.org,hartfordfoundation.org,False,96,True,False,,,,
contact@raymondfoundation.org,raymondfoundation.org,False,96,True,False,,,,
grants@pridefoundation.org,pridefoundation.org,True,0,False,False,pride foundation,philanthropy,26,
admin@germanfoundation.org,germanfoundation.org,False,91,True,False,,,,
foundation@yale-foundation.org,yale-foundation.org,False,91,True,False,,,,
foundation@exelonfoundation.org,exelonfoundation.org,False,91,True,False,,,,
admin@lubrizolfoundation.org,lubrizolfoundation.org,False,96,True,False,,,,
scholarships@trade-foundation.org,trade-foundation.org,False,91,True,False,,,,
info@tawfoundation.org,tawfoundation.org,False,91,True,False,,,,
contact@npsfoundation.org,npsfoundation.org,False,91,True,False,,,,
contact@stewartfoundation.org,stewartfoundation.org,True,0,True,False,,,,
scholarships@ulinefoundation.org,ulinefoundation.org,False,91,True,False,,,,
contact@randfoundation.org,randfoundation.org,False,91,True,False,,,,
scholarships@fannie-maefoundation.org,fannie-maefoundation.org,False,0,True,False,,,,
admin@vogel-foundation.org,vogel-foundation.org,False,0,True,False,,,,
info@innovationfoundation.org,innovationfoundation.org,False,0,True,False,,,,
grants@weiselfoundation.org,weiselfoundation.org,False,0,True,False,,,,
admin@onpointfoundation.org,onpointfoundation.org,False,0,True,False,,,,
foundation@packardfoundation.org,packardfoundation.org,False,0,True,False,,,,
grants@fannie-maefoundation.org,fannie-maefoundation.org,False,0,True,False,,,,
contact@dowfoundation.org,dowfoundation.org,False,0,True,False,,,,
scholarships@vikingfoundation.org,vikingfoundation.org,False,0,True,False,,,,
foundation@aegisfoundation.org,aegisfoundation.org,False,0,True,False,"aegis foundation, inc.",fund-raising,1,
grants@petefoundation.org,petefoundation.org,False,0,True,False,,,,
grants@hawaiifoundation.org,hawaiifoundation.org,False,0,True,False,,,,
foundation@huntingtonfoundation.org,huntingtonfoundation.org,False,0,True,False,,,,
scholarships@ridgefieldfoundation.org,ridgefieldfoundation.org,False,0,True,False,,,,
