church_name,denomination,family,address,city_state,zip,phone,website,page_url
Maranatha Seventh-Day Adventist Christian Church,Seventh-day Adventist Church,Adventist Churches,"6163 S Midvale Park Rd, Tucson, AZ 85746","6163 S Midvale Park Rd, Tucson, AZ",85746,(520) 661-9787,https://tucsonmaranatha.com,https://www.usachurches.org/church/maranathaseventhdayadventistchristianchurch.htm
Opportunity Bible Baptist Church,Independent Baptist,Baptist Churches,"101 S Yucca St, Chandler, AZ 85224","101 S Yucca St, Chandler, AZ",85224,(480) 287-4701,,https://www.usachurches.org/church/opportunity-bible-baptist-church.htm
Westpointe Baptist Church,Independent Baptist,Baptist Churches,"16750 W Garfield St, Goodyear, AZ 85338","16750 W Garfield St, Goodyear, AZ",85338,(623) 521-3549,https://westpointebaptist.org,https://www.usachurches.org/church/westpointe-baptist-church.htm
New Hope Covenant Church,Evangelical Covenant Church,Brethren Churches,"4744 W Grovers Ave, Glendale, AZ 85308","4744 W Grovers Ave, Glendale, AZ",85308,(623) 412-2234,,https://www.usachurches.org/church/new-hope-covenant-church.htm
Living Water Lutheran Church,Lutheran Church--Missouri Synod,Lutheran Churches,"1495 S Verrado Way, Buckeye, AZ 85326","1495 S Verrado Way, Buckeye, AZ",85326,(623) 266-1835,https://livingwateraz.org,https://www.usachurches.org/church/living-water-lutheran-church.htm
Phoenix Bible Church,Non-Denominational / Independent,Other Churches,"735 E Fillmore St. Phoenix, AZ 85006","735 E Fillmore St. Phoenix, AZ",85006,(602) 730-6281,https://phoenixbiblechurch.com,https://www.usachurches.org/church/phoenix-bible-church.htm
Valley Christian Ministries,Non-Denominational / Independent,Other Churches,"25400 W Maricopa Rd, Buckeye, AZ 85326","25400 W Maricopa Rd, Buckeye, AZ",85326,(855) 808-2553,https://vcm1.ws,https://www.usachurches.org/church/valley-christian-ministries.htm
SummitLIFE,Non-Denominational / Independent,Other Churches,"570 Posse Ground Rd, Sedona, AZ 86336","570 Posse Ground Rd, Sedona, AZ",86336,(928) 239-4555,https://summitlifesedona.com,https://www.usachurches.org/church/summitlife.htm
Passages Christian Fellowship,Non-Denominational / Independent,Other Churches,"8225 S 59th Ave, Laveen Village, AZ 85339","8225 S 59th Ave, Laveen Village, AZ",85339,(602) 237-7253,https://passageschurch.com,https://www.usachurches.org/church/passages-christian-fellowship.htm
Crossings Church,Non-Denominational / Independent,Other Churches,"15778 West Yuma Road, Goodyear, AZ 85338","15778 West Yuma Road, Goodyear, AZ",85338,(623) 239-1096,https://crossingschurchaz.org,https://www.usachurches.org/church/crossings-church.htm
Remnant Outreach Ministries,Non-Denominational / Independent,Other Churches,"1410 S Country Club Dr, Mesa, AZ  85210","1410 S Country Club Dr, Mesa, AZ",85210,(888) 411-2490,https://romtng.com,https://www.usachurches.org/church/remnant-outreach-ministries.htm
Heritage of Faith Family Church,Non-Denominational / Independent,Other Churches,"101 S Greenfield Rd, Gilbert, AZ 85296","101 S Greenfield Rd, Gilbert, AZ",85296,(480) 331-8714,https://hoffconline.org,https://www.usachurches.org/church/heritage-of-faith-family-church.htm
ONE Community Church,Non-Denominational / Independent,Other Churches,"33622 N Mountain Vista Blvd, Queen Creek, AZ 85242","33622 N Mountain Vista Blvd, Queen Creek, AZ",85242,(480) 383-9393,https://discoverone.net,https://www.usachurches.org/church/one-community-church.htm
Calvary Chapel Fellowship,Calvary Chapel,Pentecostal Churches,"10730 W Campbell Ave, Phoenix, AZ 85037","10730 W Campbell Ave, Phoenix, AZ",85037,(623) 556-7890,,https://www.usachurches.org/church/calvary-chapel-fellowship-phoenix.htm
Revival Fire Church of God,"Church of God (Cleveland, TN)",Pentecostal Churches,"4499 E State Route 69, Prescott, AZ 86301","4499 E State Route 69, Prescott, AZ",86301,(928) 201-1885,,https://www.usachurches.org/church/revival-fire-church-of-god.htm
"Grace Church, Peoria",Fellowship of Independent Reformed Evangelicals,Reformed Churches,"23276 N 83rd Ave, Peoria, AZ 85383","23276 N 83rd Ave, Peoria, AZ",85383,(623) 552-2110,https://gracechurchaz.org,https://www.usachurches.org/church/grace-church-peoria.htm
