church_name,denomination,family,address,city_state,zip,phone,website,page_url
The Place Adventist Fellowship,Seventh-day Adventist Church,Adventist Churches,"2697 Lavery Ct, Thousand Oaks, CA 91320","2697 Lavery Ct, Thousand Oaks, CA",91320,(805) 498-2300,https://theplacechurch.com,https://www.usachurches.org/church/the-place-adventist-fellowship.htm
Grace and Truth Baptist Church,Independent Baptist,Baptist Churches,"15900 Worthley Dr, San Lorenzo, CA 94580","15900 Worthley Dr, San Lorenzo, CA",94580,(510) 470-0359,,https://www.usachurches.org/church/grace-and-truth-baptist-church.htm
Barabbas Road Church,Southern Baptist Convention,Baptist Churches,"4833 Doliva Dr, San Diego, CA 92117","4833 Doliva Dr, San Diego, CA",92117,(760) 216-9081,https://barabbas.com,https://www.usachurches.org/church/barabbas-road-church.htm
Vintage Life Church,Southern Baptist Convention,Baptist Churches,"15172 Walnut Avenue, Fontana, CA 92336","15172 Walnut Avenue, Fontana, CA",92336,(909) 984-5433,,https://www.usachurches.org/church/vintage-life-church.htm
Citizens Church,Churches of Christ,Christian and Restorationist Churches,"8025 Waterman Rd, Sacramento, CA 95829","8025 Waterman Rd, Sacramento, CA",95829,(916) 553-2656,https://citizens.church,https://www.usachurches.org/church/citizenschurch.htm
St. Giles' Episcopal Church,Episcopal Church,Episcopal and Anglican Churches,"1928 Saint Mary's Rd, Moraga, CA 94556","1928 Saint Mary's Rd, Moraga, CA",94556,(925) 376-5770,https://stgiles-moraga.org,https://www.usachurches.org/church/st-giles-episcopal-church.htm
Redeemer Alliance Church,Christian and Missionary Alliance,Holiness Churches,"1400 West Fern Drive, Fullerton, CA 92833","1400 West Fern Drive, Fullerton, CA",92833,(714) 770-9292,,https://www.usachurches.org/church/redeemer-alliance-church.htm
Living Victory Church,Interdenominational,Other Churches,"10800 Rosslyn Ln, Bakersfield, CA 93311","10800 Rosslyn Ln, Bakersfield, CA",93311,(661) 323-2145,https://livingvictorychurch.org,https://www.usachurches.org/church/living-victory-church.htm
The Father's House Church,Non-Denominational / Independent,Other Churches,"2656 Fort Wayne St, Oroville, CA 95966","2656 Fort Wayne St, Oroville, CA",95966,(530) 534-4140,https://changeoroville.org,https://www.usachurches.org/church/the-fathers-house-church.htm
Mission 316 Church,Non-Denominational / Independent,Other Churches,"3 Civic Center Dr, San Marcos, CA 92069","3 Civic Center Dr, San Marcos, CA",92069,(760) 975-5282,https://mission316church.com,https://www.usachurches.org/church/mission316church.htm
Fulfilled for Life Family Ministries,Non-Denominational / Independent,Other Churches,"501 N Harbor Blvd, Fullerton, CA 92832","501 N Harbor Blvd, Fullerton, CA",92832,(714) 785-0386,https://f4lfm.com,https://www.usachurches.org/church/fulfilled-for-life-family-ministries.htm
Radiance Christian Church,Non-Denominational / Independent,Other Churches,"1290 Fillmore St, San Francisco, CA 94115","1290 Fillmore St, San Francisco, CA",94115,(858) 699-0437,https://radiancesf.org,https://www.usachurches.org/church/radiancechristianchurch.htm
Trinity Bible Church,Non-Denominational / Independent,Other Churches,"305 W Main Ave, Morgan Hill, CA 95037","305 W Main Ave, Morgan Hill, CA",95037,(408) 762-5800,https://trinitybiblechurch.org,https://www.usachurches.org/church/trinity-bible-church-gilroy.htm
CreekPointe Church,Non-Denominational / Independent,Other Churches,"100 Farmland Ave, Merced, CA 95348","100 Farmland Ave, Merced, CA",95348,(888) 350-3330,,https://www.usachurches.org/church/creekpointe-church.htm
Kairos Hollywood,Non-Denominational / Independent,Other Churches,"5419 Hollywood Blvd, Suite C-729, Los Angeles, CA 90027","5419 Hollywood Blvd, Suite C-729, Los Angeles, CA",90027,(323) 662-2455,https://kairoshollywood.com,https://www.usachurches.org/church/kairos-los-angeles-church.htm
Hope Santa Barbara,Non-Denominational / Independent,Other Churches,"2255 Modoc Rd, Santa Barbara, CA 93101","2255 Modoc Rd, Santa Barbara, CA",93101,(805) 682-6232,https://hopesb.com,https://www.usachurches.org/church/hope-community-church-goleta.htm
North Hills Christian Church,Non-Denominational / Independent,Other Churches,"1000 Ulatis Dr, Vacaville, CA 95687","1000 Ulatis Dr, Vacaville, CA",95687,(707) 449-8977,https://northhillsvv.org,https://www.usachurches.org/church/north-hills-christian-church.htm
Mokelumne Hill Church,Non-Denominational / Independent,Other Churches,"8085 Highway 26 Suite B, Mokelumne Hill, CA 95245","8085 Highway 26 Suite B, Mokelumne Hill, CA",95245,(209) 286-1165,,https://www.usachurches.org/church/mokelumne-hill-church.htm
Catalyst Church,Non-Denominational / Independent,Other Churches,"670 11th St, Arcata, CA 95521","670 11th St, Arcata, CA",95521,(707) 407-0499,https://provokechange.org,https://www.usachurches.org/church/catalyst-church.htm
City Christian Church,Non-Denominational / Independent,Other Churches,"26255 Garbani Rd, Menifee, CA 92584","26255 Garbani Rd, Menifee, CA",92584,(951) 696-4463,https://citychristianchurch.com,https://www.usachurches.org/church/city-christian-church.htm
Southcoast Church International,Non-Denominational / Independent,Other Churches,"100 North Calle Seville, San Clemente, CA 92672","100 North Calle Seville, San Clemente, CA",92672,(949) 614-5734,https://southcoastchurch.com,https://www.usachurches.org/church/southcoast-church-international.htm
Summit Church International,Non-Denominational / Independent,Other Churches,"12440 Campo Rd, Spring Valley, CA 91978","12440 Campo Rd, Spring Valley, CA",91978,(619) 825-8115,https://summitsandiego.org,https://www.usachurches.org/church/summit-church-international.htm
Mission Church,Non-Denominational / Independent,Other Churches,"26933 North Silverbell Lane, Santa Clarita, CA 91387","26933 North Silverbell Lane, Santa Clarita, CA",91387,(661) 430-0322,https://missionchurch.us,https://www.usachurches.org/church/mission-church-santa-clarita.htm
God's Hand Extended Christian Fellowship,Non-Denominational / Independent,Other Churches,"6680 Regional Street, Dublin, CA 94568","6680 Regional Street, Dublin, CA",94568,(925) 465-1455,,https://www.usachurches.org/church/gods-hand-extended-christian-fellowship.htm
Antioch Ministries,Non-Denominational / Independent,Other Churches,"5945 Pacific Center Blvd, Suite 510, San Diego, CA 92121","5945 Pacific Center Blvd, Suite 510, San Diego, CA",92121,(760) 722-2508,,https://www.usachurches.org/church/antioch-ministries.htm
Family Life Fellowship,Non-Denominational / Independent,Other Churches,"12040 Balboa Blvd, Granada Hills, CA 91344","12040 Balboa Blvd, Granada Hills, CA",91344,(800) 506-8750,,https://www.usachurches.org/church/family-life-fellowship.htm
Church Without Walls,Non-Denominational / Independent,Other Churches,"2117 Acton St, Berkeley, CA 94702). Our Mailing Address: 1700 Shattuck Ave., #199, Berkeley, CA 94709","2117 Acton St, Berkeley, CA 94702). Our Mailing Address: 1700 Shattuck Ave., #199, Berkeley, CA",94709,(510) 204-9504,https://churchwithoutwallsberkeley.org,https://www.usachurches.org/church/church-without-walls.htm
The Edge Community Church,Non-Denominational / Independent,Other Churches,"611 Village Dr, Suisun, CA 94585","611 Village Dr, Suisun, CA",94585,(707) 646-9706,https://edgecommunitychurch.org,https://www.usachurches.org/church/the-edge-community-church.htm
Hope Vineyard Community Church,Association of Vineyard Churches,Pentecostal Churches,"00 AM on Sunday mornings at Canyon Springs Community Elementary School located at 19059 Vicci St, Santa Clarita, CA 91351","00 AM on Sunday mornings at Canyon Springs Community Elementary School located at 19059 Vicci St, Santa Clarita, CA",91351,(661) 251-8340,https://hopevineyard.com,https://www.usachurches.org/church/hope-vineyard-community-church.htm
Horizon Christian Fellowship,Calvary Chapel,Pentecostal Churches,"9191 Gramercy Dr, San Diego, CA 92123","9191 Gramercy Dr, San Diego, CA",92123,(858) 277-4991,https://hcf.org,https://www.usachurches.org/church/horizon-christian-fellowship.htm
Calvary Chapel San Clemente,Calvary Chapel,Pentecostal Churches,"1130 Avenida Talega, San Clemente, CA 92673","1130 Avenida Talega, San Clemente, CA",92673,(949) 228-9117,https://calvarysanclemente.org,https://www.usachurches.org/church/calvary-chapel-san-clemente.htm
Calvary Chapel North Whittier,Calvary Chapel,Pentecostal Churches,"4030 Workman Mill Rd, Whittier, CA 90601","4030 Workman Mill Rd, Whittier, CA",90601,(626) 600-6227,,https://www.usachurches.org/church/calvary-chapel-north-whittier.htm
The Lord's City Ministries (TLC),Church of God in Christ,Pentecostal Churches,"40855 Chaco Canyon Rd, Murrieta, CA 92562","40855 Chaco Canyon Rd, Murrieta, CA",92562,(951) 696-1253,https://tlccogic.org,https://www.usachurches.org/church/the-lords-city-ministries.htm
New Covenant Worship Center,Church of God in Christ,Pentecostal Churches,"821 State St #B, Santa Barbara, CA 93101","821 State St #B, Santa Barbara, CA",93101,(805) 377-9388,https://ncwc.net,https://www.usachurches.org/church/new-covenant-worship-center-santa-barbara.htm
Grace Pasadena,Presbyterian Church in America,Presbyterian Churches,"85 E Holly St, Pasadena, CA 91103","85 E Holly St, Pasadena, CA",91103,(888) 909-7218,https://gracepasadena.org,https://www.usachurches.org/church/gracepasadena.htm
