church_name,denomination,family,address,city_state,zip,phone,website,page_url
Faith International Baptist Church,Independent Baptist,Baptist Churches,"7769 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34747","7769 W Irlo Bronson Memorial Hwy, Kissimmee, FL",34747,(760) 405-8134,https://faithinorlando.com,https://www.usachurches.org/church/faith-international-baptist-church.htm
Campus Church,Independent Baptist,Baptist Churches,"110 and Highway 29 (250 Brent Lane, Pensacola, FL 32503","110 and Highway 29 (250 Brent Lane, Pensacola, FL",32503,(850) 479-6575,https://campuschurch.com,https://www.usachurches.org/church/campus-church.htm
Living Faith Church,Evangelical Lutheran Church in America,Lutheran Churches,"2000 NW Courtyard Cir, Port St Lucie, FL 34986","2000 NW Courtyard Cir, Port St Lucie, FL",34986,(772) 252-5200,https://lfc.church,https://www.usachurches.org/church/livingfaithchurchportstlucie.htm
Abiding Love Fellowship,Interdenominational,Other Churches,"231 N Federal Hwy, Lake Worth, FL 33460","231 N Federal Hwy, Lake Worth, FL",33460,(561) 307-0382,https://abidinglovefellowship.com,https://www.usachurches.org/church/abiding-love-fellowship.htm
Harvest Bible Chapel Naples,Non-Denominational / Independent,Other Churches,"5450 YMCA Rd, Naples, FL 34109","5450 YMCA Rd, Naples, FL",34109,(239) 850-8250,,https://www.usachurches.org/church/harvestbiblechapelnaples.htm
Relevant Church,Non-Denominational / Independent,Other Churches,"115 N Laurel Ave, Sanford, FL 32771","115 N Laurel Ave, Sanford, FL",32771,(321) 262-1740,https://relevantchurch.us,https://www.usachurches.org/church/relevant-church-sanford.htm
Destiny Church of Jacksonville,Non-Denominational / Independent,Other Churches,"20 (9525 Philips Highway, Jacksonville, FL 32256","20 (9525 Philips Highway, Jacksonville, FL",32256,(904) 401-1334,https://destinychurchjacksonville.com,https://www.usachurches.org/church/destiny-church-of-jacksonville.htm
Real Church,Non-Denominational / Independent,Other Churches,"1370 S Belcher Rd, Clearwater, FL 33764","1370 S Belcher Rd, Clearwater, FL",33764,(318) 751-2059,https://realchurch.us,https://www.usachurches.org/church/realchurch.htm
The Church at North Orlando,Non-Denominational / Independent,Other Churches,"5525 Tangerine Ave, Winter Park, FL 32792","5525 Tangerine Ave, Winter Park, FL",32792,(407) 670-0555,https://thechurchorlando.com,https://www.usachurches.org/church/thechurchatnorthorlando.htm
East Coast Believers Church,Non-Denominational / Independent,Other Churches,"3675 Boggy Creek Rd, Kissimmee, FL 34744","3675 Boggy Creek Rd, Kissimmee, FL",34744,(407) 562-3902,https://eastcoastbelievers.org,https://www.usachurches.org/church/eastcoastbelieverschurch.htm
The Way Church of Miami,Non-Denominational / Independent,Other Churches,"15735 SW 144th St, Miami, FL 33196","15735 SW 144th St, Miami, FL",33196,(305) 771-1280,,https://www.usachurches.org/church/the-way-church-of-miami.htm
Thrive Community Church,Non-Denominational / Independent,Other Churches,"801 Taylor Rd, Port Orange, FL 32127","801 Taylor Rd, Port Orange, FL",32127,(386) 256-0711,https://wearethrive.org,https://www.usachurches.org/church/thrive-community-church-port-orange.htm
The Experience Christian Center,Non-Denominational / Independent,Other Churches,"801 S Rio Grande Ave, Orlando, FL 32805","801 S Rio Grande Ave, Orlando, FL",32805,(407) 601-6444,https://eccorlando.com,https://www.usachurches.org/church/the-experience-christian-center.htm
Logos Dei Church,Non-Denominational / Independent,Other Churches,"4411 S Himes Ave, Tampa, FL 33611","4411 S Himes Ave, Tampa, FL",33611,(813) 765-5742,https://logosdei.com,https://www.usachurches.org/church/logos-dei-church.htm
The Exchange Church,Non-Denominational / Independent,Other Churches,"4150 W Hillsboro Blvd, Deerfield Beach, FL 33442","4150 W Hillsboro Blvd, Deerfield Beach, FL",33442,(754) 900-6346,https://theexchangechurch.cc,https://www.usachurches.org/church/theexchangechurch.htm
Joy of Faith Christian Center,Non-Denominational / Independent,Other Churches,"9480 Mac Arthur Blvd, Palm Beach Gardens, FL 33403","9480 Mac Arthur Blvd, Palm Beach Gardens, FL",33403,(561) 839-9829,https://joyoffaith.com,https://www.usachurches.org/church/joy-of-faith-christian-center.htm
Grace Church Melbourne,Non-Denominational / Independent,Other Churches,"30 at Cinemaworld Melbourne 16 (4345 West New Haven Avenue, West Melbourne, FL 32904","30 at Cinemaworld Melbourne 16 (4345 West New Haven Avenue, West Melbourne, FL",32904,(321) 525-0012,https://gracechurchmelbourne.com,https://www.usachurches.org/church/grace-church-melbourne.htm
Livewire,Non-Denominational / Independent,Other Churches,"20 (6006 Hollywood Dr, Naples, FL 34109","20 (6006 Hollywood Dr, Naples, FL",34109,(239) 324-9833,https://wiredalive.com,https://www.usachurches.org/church/livewire.htm
Bridge Christian Fellowship Orlando,Non-Denominational / Independent,Other Churches,"600 Rinehart Rd, Lake Mary, FL 32746","600 Rinehart Rd, Lake Mary, FL",32746,(407) 599-1190,,https://www.usachurches.org/church/bridge-christian-fellowship-orlando.htm
Orlando Healing Center,Non-Denominational / Independent,Other Churches,"12601 Balcombe Rd, Orlando, FL 32837","12601 Balcombe Rd, Orlando, FL",32837,(407) 288-5791,,https://www.usachurches.org/church/orlando-healing-center.htm
Naples Bible Fellowship,Non-Denominational / Independent,Other Churches,"5050 Davis Blvd, Naples, FL 34104","5050 Davis Blvd, Naples, FL",34104,(239) 775-7180,https://rickcampanaministries.org,https://www.usachurches.org/church/naples-bible-fellowship.htm
Family Christian Center,Non-Denominational / Independent,Other Churches,"8 Theaters located at 770 Riverside Dr, Coral Springs, FL 33071","8 Theaters located at 770 Riverside Dr, Coral Springs, FL",33071,(954) 975-3145,,https://www.usachurches.org/church/family-christian-center-coral-springs.htm
The Source World Wide Ministries,Non-Denominational / Independent,Other Churches,"145 Park Avenue, Orange Park, FL 32073","145 Park Avenue, Orange Park, FL",32073,(904) 483-1710,,https://www.usachurches.org/church/the-source-world-wide-ministries.htm
Christian Hill Church,Non-Denominational / Independent,Other Churches,"11850 West State Road 84, Suite A16, Davie, FL 33325","11850 West State Road 84, Suite A16, Davie, FL",33325,(954) 812-4324,,https://www.usachurches.org/church/christian-hill-church.htm
New Life Church,Non-Denominational / Independent,Other Churches,"3460 South McCall Road, Englewood, FL 34224","3460 South McCall Road, Englewood, FL",34224,(941) 214-8270,,https://www.usachurches.org/church/new-life-church-port-charlotte.htm
Freedom Worship Center,Assemblies of God,Pentecostal Churches,"103 Highland Ave, Lake Como, FL 32181","103 Highland Ave, Lake Como, FL",32181,(396) 937-3484,,https://www.usachurches.org/church/freedom-worship-center-pomona-park.htm
River of Life Fellowship Ministries,Assemblies of God,Pentecostal Churches,"625 Barefoot Blvd, Sebastian, FL 32976","625 Barefoot Blvd, Sebastian, FL",32976,(772) 571-7617,,https://www.usachurches.org/church/river-of-life-fellowship-ministries.htm
Reach Orlando Church,Calvary Chapel,Pentecostal Churches,"2155 Aloma Ave, Winter Park, FL 32792","2155 Aloma Ave, Winter Park, FL",32792,(407) 252-1935,https://reachorlando.com,https://www.usachurches.org/church/reach-orlando-church.htm
Calvary Christian Fellowship,Calvary Chapel,Pentecostal Churches,"10502 North Dale Mabry Highway, Tampa, FL 33618","10502 North Dale Mabry Highway, Tampa, FL",33618,(727) 389-9064,,https://www.usachurches.org/church/calvary-christian-fellowship.htm
Faith Temple Church of God,"Church of God (Cleveland, TN)",Pentecostal Churches,"3059 Elm St, Zolfo Springs, FL 33890, P.O. Box 1640 Wauchula, FL 33873","3059 Elm St, Zolfo Springs, FL 33890, P.O. Box 1640 Wauchula, FL",33873,(863) 773-3800,https://faithfilledchurch.com,https://www.usachurches.org/church/faith-temple-church-of-god.htm
iMPACT,Church of God in Christ,Pentecostal Churches,"2904 Melburne Blvd, Ybor City, FL 33605). Our mailing address: P.O. Box 6791, Lakeland, FL 33807","2904 Melburne Blvd, Ybor City, FL 33605). Our mailing address: P.O. Box 6791, Lakeland, FL",33807,(813) 965-8445,,https://www.usachurches.org/church/impact.htm
Life Church,International Church of the Foursquare Gospel,Pentecostal Churches,"1600 72nd St N, St. Petersburg, FL 33710","1600 72nd St N, St. Petersburg, FL",33710,(727) 916-0750,https://lifechurchstpete.org,https://www.usachurches.org/church/life-church-st-petersburg.htm
