church_name,denomination,family,address,city_state,zip,phone,website,page_url
Fulton County Mission Group,Seventh-day Adventist Church,Adventist Churches,"3510 Atlanta Ave, Hapeville, GA 30354","3510 Atlanta Ave, Hapeville, GA",30354,(678) 653-3554,,https://www.usachurches.org/church/fulton-county-seventh-day-adventist-mission-group.htm
Live Free Church,National Association of Congregational Christian Churches,Congregational Churches,"1725 Grayson Hwy, Grayson, GA 30017","1725 Grayson Hwy, Grayson, GA",30017,(678) 442-0487,https://livefreechurch.org,https://www.usachurches.org/church/live-free-church.htm
Mount Pisgah Church,United Methodist Church,Methodist Churches,"9820 Nesbit Ferry Rd, Alpharetta, GA 30022","9820 Nesbit Ferry Rd, Alpharetta, GA",30022,(678) 336-3000,https://mountpisgah.org,https://www.usachurches.org/church/mount-pisgah-united-methodist-church.htm
Legacy Church,Non-Denominational / Independent,Other Churches,"10 AM every Sunday morning in the Harlem High School auditorium, conveniently located off exit 183 on I-20 (1070 Appling Harlem Rd, Harlem, GA 30814","10 AM every Sunday morning in the Harlem High School auditorium, conveniently located off exit 183 on I-20 (1070 Appling Harlem Rd, Harlem, GA",30814,(706) 871-8250,https://www.mylegacychurch.org,https://www.usachurches.org/church/legacychurch.htm
Influencers Church Gwinnett,Non-Denominational / Independent,Other Churches,"1555 Old Peachtree Rd NW, Suwanee, GA 30024","1555 Old Peachtree Rd NW, Suwanee, GA",30024,(678) 879-1600,https://influencers.church,https://www.usachurches.org/church/influencerschurchgwinnett.htm
Calvary Chapel Restore,Non-Denominational / Independent,Other Churches,"3575 Ridge Rd, Buford, GA 30519","3575 Ridge Rd, Buford, GA",30519,(470) 557-2331,https://ccrestore.org,https://www.usachurches.org/church/calvarychapelrestore.htm
Discipleship International,Non-Denominational / Independent,Other Churches,"130 Killian Hill Rd SW, Lilburn, GA 30047","130 Killian Hill Rd SW, Lilburn, GA",30047,(770) 359-9022,https://di.church,https://www.usachurches.org/church/discipleship-international-church.htm
Christ's Messengers Christian Fellowship,Non-Denominational / Independent,Other Churches,"3541 Stone Mountain Hwy, Suite #3, Snellville, GA 30078","3541 Stone Mountain Hwy, Suite #3, Snellville, GA",30078,(678) 353-6047,,https://www.usachurches.org/church/christs-messengers-christian-fellowship.htm
"DaySpring International Ministries, Inc.",Non-Denominational / Independent,Other Churches,"2920 Clairmont Road, I-85 exit #91, Atlanta, GA 30329","2920 Clairmont Road, I-85 exit #91, Atlanta, GA",30329,(678) 561-3174,,https://www.usachurches.org/church/dayspring-international-ministries-inc.htm
New Glory Christian Church,Non-Denominational / Independent,Other Churches,"4740 N Henry Blvd, Stockbridge, GA 30281","4740 N Henry Blvd, Stockbridge, GA",30281,(770) 474-2586,,https://www.usachurches.org/church/new-glory-christian-church.htm
Destiny-Driven Deliverance Church International,Non-Denominational / Independent,Other Churches,"3590 Riverside Dr, Macon, GA 31210","3590 Riverside Dr, Macon, GA",31210,(478) 345-5547,,https://www.usachurches.org/church/destiny-driven-deliverance-church-international.htm
Greater Harvest Ministries,Non-Denominational / Independent,Other Churches,"35 Daniel Dr, Stockbridge, GA 30281","35 Daniel Dr, Stockbridge, GA",30281,(678) 763-1499,,https://www.usachurches.org/church/greater-harvest-ministries.htm
Heart of God Ministries,Non-Denominational / Independent,Other Churches,"3777 Samples Rd, Cumming, GA 30041","3777 Samples Rd, Cumming, GA",30041,(770) 329-1278,,https://www.usachurches.org/church/heart-of-god-ministries.htm
Trinity Christian Fellowship International,Non-Denominational / Independent,Other Churches,"911 E Oglethorpe Blvd, Albany, GA 31705","911 E Oglethorpe Blvd, Albany, GA",31705,(229) 291-4015,,https://www.usachurches.org/church/trinity-christian-fellowship-international.htm
The Atonement of Christ Ministries,Non-Denominational / Independent,Other Churches,"3000 Cumberland Blvd, Suite D, Atlanta, GA 30339","3000 Cumberland Blvd, Suite D, Atlanta, GA",30339,(770) 548-9808,,https://www.usachurches.org/church/the-atonement-of-christ-ministries.htm
Pursuit of Purpose Church,Non-Denominational / Independent,Other Churches,"2815 Akers Mill Road, Atlanta, GA 30339","2815 Akers Mill Road, Atlanta, GA",30339,(770) 595-6994,,https://www.usachurches.org/church/pursuit-of-purpose-church.htm
Calvary Fayette,Calvary Chapel,Pentecostal Churches,"865 Senoia Rd, Ste C, Tyrone, GA 30290","865 Senoia Rd, Ste C, Tyrone, GA",30290,(678) 364-0463,,https://www.usachurches.org/church/calvary-fayette.htm
