church_name,denomination,family,address,city_state,zip,phone,website,page_url
Praise Temple of Restoration,"Full Gospel Baptist Church Fellowship, International",Baptist Churches,"3151 W Walnut St, Chicago, IL 60612","3151 W Walnut St, Chicago, IL",60612,(773) 801-0970,https://praisetemplechurch.org,https://www.usachurches.org/church/praise-temple-of-restoration.htm
Hope Community Church,Evangelical Free Church of America,Brethren Churches,"505 N Springinsguth Rd, Schaumburg, IL 60194","505 N Springinsguth Rd, Schaumburg, IL",60194,(847) 721-9908,https://connectingtohope.com,https://www.usachurches.org/church/hope-community-church-hoffman-estates.htm
All Saints Lutheran Church of Bloomington Normal,Lutheran Congregations in Mission for Christ,Lutheran Churches,"313 N East St, Bloomington, IL 61701","313 N East St, Bloomington, IL",61701,(309) 824-7495,,https://www.usachurches.org/church/all-saints-lutheran-church-of-bloomington-normal.htm
The Bridge United Methodist Church,United Methodist Church,Methodist Churches,"1400 Newcastle Rd, Washington, IL 61571","1400 Newcastle Rd, Washington, IL",61571,(309) 306-1544,https://thebridgeumc.org,https://www.usachurches.org/church/thebridgeunitedmethodistchurch.htm
Kumler United Methodist Church,United Methodist Church,Methodist Churches,"303 North Grand Ave E, Springfield, IL 62702","303 North Grand Ave E, Springfield, IL",62702,(217) 523-2046,,https://www.usachurches.org/church/kumler-united-methodist-church.htm
"Central Christian Church, Machesney Park",Non-Denominational / Independent,Other Churches,"1 Huskie Cir, Machesney Park, IL 61115","1 Huskie Cir, Machesney Park, IL",61115,(815) 206-8612,https://centralmachesneypark.com,https://www.usachurches.org/church/centralmachesneypark.htm
Lifeline Christian Church,Non-Denominational / Independent,Other Churches,"1611 S Randall Rd, Algonquin, IL 60102","1611 S Randall Rd, Algonquin, IL",60102,(847) 910-9414,https://lifelinecc.org,https://www.usachurches.org/church/lifeline-christian-church.htm
Crosspoint Church,Non-Denominational / Independent,Other Churches,"309 Hartman Ln, O'Fallon, IL 62269","309 Hartman Ln, O'Fallon, IL",62269,(314) 892-5051,https://thecrosspoint.com,https://www.usachurches.org/church/crosspoint-church-ofallon.htm
Christ the King Church,Non-Denominational / Independent,Other Churches,"14 N Van Buren St, Batavia, IL 60510","14 N Van Buren St, Batavia, IL",60510,(630) 482-9865,,https://www.usachurches.org/church/christ-the-king-church.htm
Bolingbrook Community Church,Non-Denominational / Independent,Other Churches,"365 Raider Way, Bolingbrook, IL 60440","365 Raider Way, Bolingbrook, IL",60440,(630) 679-0022,https://bolingbrookchurch.org,https://www.usachurches.org/church/bolingbrook-community-church.htm
Joyful Fellowship Church,Non-Denominational / Independent,Other Churches,"500 E Streamwood Blvd, Streamwood, IL 60107","500 E Streamwood Blvd, Streamwood, IL",60107,(708) 603-0658,,https://www.usachurches.org/church/joyful-fellowship-church.htm
New Life in Christ Church,Non-Denominational / Independent,Other Churches,"1333 Greenwood Rd, Glenview, IL 60026","1333 Greenwood Rd, Glenview, IL",60026,(847) 724-5433,,https://www.usachurches.org/church/new-life-in-christ-church.htm
LifeChurch of Morris,Non-Denominational / Independent,Other Churches,"4040 Division St, Morris, IL 60450","4040 Division St, Morris, IL",60450,(815) 318-5469,,https://www.usachurches.org/church/lifechurch-of-morris.htm
Divine Power Outreach Ministries,Non-Denominational / Independent,Other Churches,"1617 No. Route 83, Round Lake Beach, IL 60073","1617 No. Route 83, Round Lake Beach, IL",60073,(847) 757-4824,,https://www.usachurches.org/church/divine-power-outreach-ministries.htm
Providence Presbyterian Church,Presbyterian Church in America,Presbyterian Churches,"520 U.S. Hwy 40, Troy, IL 62294","520 U.S. Hwy 40, Troy, IL",62294,(618) 505-0155,https://providencepres.net,https://www.usachurches.org/church/providence-presbyterian-church-edwardsville.htm
Missio Dei Church,Reformed Church in America,Reformed Churches,"11244 Willow Crest Lane, Mokena, IL 60448","11244 Willow Crest Lane, Mokena, IL",60448,(708) 478-4656,https://mdchurch.us,https://www.usachurches.org/church/missio-dei-church.htm
