church_name,denomination,family,address,city_state,zip,phone,website,page_url
Asian Indian Christian Church,Advent Christian General Conference,Adventist Churches,"1200 Swingingdale Dr, Silver Spring, MD 20905","1200 Swingingdale Dr, Silver Spring, MD",20905,(301) 890-1067,https://indianoutreach.org,https://www.usachurches.org/church/asian-indian-christian-church.htm
Forest Hills Baptist Church,Independent Baptist,Baptist Churches,"1800 Greenplace Terrace, Rockville, MD 20850","1800 Greenplace Terrace, Rockville, MD",20850,(240) 428-4696,https://myforesthillsbaptist.com,https://www.usachurches.org/church/forest-hills-baptist-church.htm
The Living Water International Church of Maryland,Church of the Nazarene,Holiness Churches,"51 University Blvd E., Silver Spring, MD 20901","51 University Blvd E., Silver Spring, MD",20901,(301) 498-1323,,https://www.usachurches.org/church/the-living-water-international-church-of-maryland.htm
Augsburg Evangelical Church,American Association of Lutheran Churches,Lutheran Churches,"9800 Cherry Hill Rd, College Park, MD 20740","9800 Cherry Hill Rd, College Park, MD",20740,(410) 788-5704,,https://www.usachurches.org/church/augsburg-evangelical-church.htm
Christ Community Church,Association of Free Lutheran Congregations,Lutheran Churches,"8916 Mapleville Rd, Boonsboro, MD 21713","8916 Mapleville Rd, Boonsboro, MD",21713,(240) 329-4920,https://christcommunityonline.net,https://www.usachurches.org/church/christ-community-church-boonsboro.htm
Mustard Seed Ministries Inc.,Non-Denominational / Independent,Other Churches,"1718 Underpass Way, Hagerstown, MD 21740","1718 Underpass Way, Hagerstown, MD",21740,(240) 625-2020,https://www.mustard-seed-ministries.org,https://www.usachurches.org/church/mustard-seed-ministries-inc.htm
Kingdom Harvest Ministries,Non-Denominational / Independent,Other Churches,"4200 57th Ave, Bladensburg, MD 20710","4200 57th Ave, Bladensburg, MD",20710,(301) 386-3800,,https://www.usachurches.org/church/kingdom-harvest-ministries.htm
Maryland Christian Fellowship (MCF) Community Church,Non-Denominational / Independent,Other Churches,"66 Ridge Rd, Greenbelt, MD 20770","66 Ridge Rd, Greenbelt, MD",20770,(240) 354-5333,https://mcfcc.org,https://www.usachurches.org/church/maryland-christian-fellowship-community-church.htm
FLOW Church,Non-Denominational / Independent,Other Churches,"3700 Northview Dr, Bowie, MD 20716","3700 Northview Dr, Bowie, MD",20716,(240) 433-3569,https://flow-church.org,https://www.usachurches.org/church/flow-church.htm
Word of Wisdom Christian Minstries,Non-Denominational / Independent,Other Churches,"97 Yost Place, Capital Heights, MD 20743","97 Yost Place, Capital Heights, MD",20743,(301) 574-4404,,https://www.usachurches.org/church/word-of-wisdom-christian-minstries.htm
Generation Church,Non-Denominational / Independent,Other Churches,"2706 Philadelphia Road, Abingdon, MD 21009","2706 Philadelphia Road, Abingdon, MD",21009,(410) 836-7335,https://thisgen.com,https://www.usachurches.org/church/generation-church.htm
New Life Community Church,Non-Denominational / Independent,Other Churches,"24001 Ridge Rd, Germantown, MD 20876","24001 Ridge Rd, Germantown, MD",20876,(240) 745-2210,https://newlifechurch7.org,https://www.usachurches.org/church/newlifecommunitychurch.htm
The Journey Church Community,Non-Denominational / Independent,Other Churches,"6315 Sykesville Rd (Rt. 32), Sykesville, MD 21784","6315 Sykesville Rd (Rt. 32), Sykesville, MD",21784,(410) 552-5520,,https://www.usachurches.org/church/the-journey-church-community.htm
Full Life Church,Non-Denominational / Independent,Other Churches,"1300 Fillmore Rd, Ft. Washington, MD 20744","1300 Fillmore Rd, Ft. Washington, MD",20744,(301) 535-0659,,https://www.usachurches.org/church/full-life-church.htm
Life Church,Non-Denominational / Independent,Other Churches,"1245 Plum Point Road, Huntingtown, MD 20639","1245 Plum Point Road, Huntingtown, MD",20639,(443) 295-3430,https://lifechurchcalvert.com,https://www.usachurches.org/church/life-church-huntingtown.htm
Jesus Saves Christian Center,Non-Denominational / Independent,Other Churches,"6360 Oxon Hill Road, Oxon Hill, MD 20745","6360 Oxon Hill Road, Oxon Hill, MD",20745,(301) 292-5979,https://jscconline.org,https://www.usachurches.org/church/jesus-saves-christian-center.htm
Living Hope Church,Sovereign Grace Ministries,Other Churches,"12605 Heming Ln, Bowie, MD 20716","12605 Heming Ln, Bowie, MD",20716,(301) 520-6189,https://livinghopebowie.org,https://www.usachurches.org/church/living-hope-church-bowie.htm
Kent Island New Beginnings Church of God In Christ,Church of God in Christ,Pentecostal Churches,"5435 Main St, Grasonville, MD 21638","5435 Main St, Grasonville, MD",21638,(410) 643-1759,,https://www.usachurches.org/church/kent-island-new-beginnings-church-of-god-in-christ.htm
