church_name,denomination,family,address,city_state,zip,phone,website,page_url
Clarity Church,Converge Worldwide,Baptist Churches,"8925 Zane Ave N, Brooklyn Park, MN 55443","8925 Zane Ave N, Brooklyn Park, MN",55443,(612) 567-3121,https://claritychurch.org,https://www.usachurches.org/church/clarity-church.htm
Renovation Church,Converge Worldwide,Baptist Churches,"2350 124th Ct, Minneapolis, MN 55449","2350 124th Ct, Minneapolis, MN",55449,(763) 291-6744,https://renovationchurch.org,https://www.usachurches.org/church/renovation-church.htm
Emmaus Baptist Church,Independent Baptist,Baptist Churches,"2752 Medina Rd, Medina, MN 55340","2752 Medina Rd, Medina, MN",55340,(763) 473-0470,,https://www.usachurches.org/church/emmaus-baptist-church.htm
Heritage Baptist Church,Independent Baptist,Baptist Churches,"8966 Pierce St NE, Blaine, MN 55434","8966 Pierce St NE, Blaine, MN",55434,(763) 755-9437,,https://www.usachurches.org/church/heritage-baptist-church-blaine.htm
New City Covenant Church,Evangelical Covenant Church,Brethren Churches,"3700 Monterey Dr, St Louis Park, MN 55416","3700 Monterey Dr, St Louis Park, MN",55416,(612) 208-3480,https://newcitycov.org,https://www.usachurches.org/church/new-city-covenant-church.htm
ReaLife Church,Lutheran Congregations in Mission for Christ,Lutheran Churches,"4551 W 102 St, Bloomington, MN 55437","4551 W 102 St, Bloomington, MN",55437,(612) 741-6615,https://realife-church.org,https://www.usachurches.org/church/realife-church.htm
The River Church,Non-Denominational / Independent,Other Churches,"321 Central Ave, Faribault, MN 55021","321 Central Ave, Faribault, MN",55021,(507) 334-1897,https://theriverchurch.org,https://www.usachurches.org/church/river-church-of-faribault.htm
Living In HIS Presence Church,Non-Denominational / Independent,Other Churches,"8950 Eden Prairie Rd, Eden Prairie, MN 55347","8950 Eden Prairie Rd, Eden Prairie, MN",55347,(612) 963-0088,https://livinginhispresence.org,https://www.usachurches.org/church/living-in-his-presence-church.htm
Mzizi Church International,Non-Denominational / Independent,Other Churches,"1001 Highway 7, Hopkins, MN 55305","1001 Highway 7, Hopkins, MN",55305,(763) 587-8137,https://mzizichurch.org,https://www.usachurches.org/church/mzizi-church-international.htm
Spirit of Truth Christian Center,Non-Denominational / Independent,Other Churches,"3501 Chicago Ave S, Minneapolis, MN 55407","3501 Chicago Ave S, Minneapolis, MN",55407,(612) 267-0175,,https://www.usachurches.org/church/spirit-of-truth-christian-center.htm
The Bridge,Assemblies of God,Pentecostal Churches,"22919 St. Francis Blvd NW, St. Francis, MN 55070","22919 St. Francis Blvd NW, St. Francis, MN",55070,(763) 516-5995,https://sfbridge.org,https://www.usachurches.org/church/the-bridge.htm
