church_name,denomination,family,address,city_state,zip,phone,website,page_url
River Oaks Community Church,Converge Worldwide,Baptist Churches,"7921 Ray Road, Raleigh, NC 27613","7921 Ray Road, Raleigh, NC",27613,(919) 669-6530,,https://www.usachurches.org/church/river-oaks-community-church.htm
The Bridge Community Church,Southern Baptist Convention,Baptist Churches,"6010 McCrimmon Pkwy, Morrisville, NC 27560","6010 McCrimmon Pkwy, Morrisville, NC",27560,(919) 460-5917,https://bridgecommunitychurch.net,https://www.usachurches.org/church/the-bridge-community-church-morrisville.htm
G3 Church,United Methodist Church,Methodist Churches,"401 Meadowlark Dr, Winston-Salem, NC 27106","401 Meadowlark Dr, Winston-Salem, NC",27106,(336) 462-9307,https://gathergrowgo.org,https://www.usachurches.org/church/g3-church.htm
Church at the Creek,Interdenominational,Other Churches,"914 Anderson Creek School Rd, Bunnlevel, NC 28323","914 Anderson Creek School Rd, Bunnlevel, NC",28323,(910) 229-4477,,https://www.usachurches.org/church/church-at-the-creek.htm
Calvary Fellowship Waynesville,Non-Denominational / Independent,Other Churches,"400 Russ Avenue, Waynesville, NC 28786","400 Russ Avenue, Waynesville, NC",28786,(828) 550-4650,,https://www.usachurches.org/church/calvary-fellowship-waynesville.htm
Word of Life Outreach Ministries,Non-Denominational / Independent,Other Churches,"3000 Wakefield Crossing Drive, Raleigh, NC 27614","3000 Wakefield Crossing Drive, Raleigh, NC",27614,(919) 232-5006,https://wordoflifeom.com,https://www.usachurches.org/church/word-of-life-outreach-ministries.htm
Emmaus,Non-Denominational / Independent,Other Churches,"101 Dry Ave, Cary, NC 27511","101 Dry Ave, Cary, NC",27511,(919) 473-6001,https://emmausrdu.com,https://www.usachurches.org/church/emmaus.htm
El Shaddai Kingdom Outreach,Non-Denominational / Independent,Other Churches,"1700 Skibo Rd, Fayetteville, NC 28303","1700 Skibo Rd, Fayetteville, NC",28303,(910) 717-5634,https://elshaddaikingdomoutreach.org,https://www.usachurches.org/church/el-shaddai-kingdom-outreach.htm
Calvary Covenant Fellowship,Non-Denominational / Independent,Other Churches,"1409 Leonard Ave, High Point, NC 27260","1409 Leonard Ave, High Point, NC",27260,(336) 781-7296,https://calvary-covenant.com,https://www.usachurches.org/church/calvary-covenant-fellowship.htm
New Life Church Calabash,Non-Denominational / Independent,Other Churches,"10050 Beach Dr SW, Calabash, NC 28467","10050 Beach Dr SW, Calabash, NC",28467,(910) 664-4901,https://newlifechurchcalabash.com,https://www.usachurches.org/church/newlifechurchcalabash.htm
Connect Church Raleigh,Non-Denominational / Independent,Other Churches,"10401 Durant Rd, Raleigh, NC 27614","10401 Durant Rd, Raleigh, NC",27614,(984) 235-5764,https://connectchurchrtp.live,https://www.usachurches.org/church/connectchurchraleigh.htm
Bright Chapel,Non-Denominational / Independent,Other Churches,"101 Wilkinson Ave, Cary, NC 27513","101 Wilkinson Ave, Cary, NC",27513,(920) 650-5150,https://brightchapel.com,https://www.usachurches.org/church/brightchapel.htm
Vintage City Church,Non-Denominational / Independent,Other Churches,"2000 SE Catawba Valley Boulevard, Hickory, NC 28602","2000 SE Catawba Valley Boulevard, Hickory, NC",28602,(828) 209-8950,https://vintagecitync.com,https://www.usachurches.org/church/vintage-city-church.htm
One Harbor Church,Non-Denominational / Independent,Other Churches,"1305 Arendell St, Morehead City, NC 28557","1305 Arendell St, Morehead City, NC",28557,(252) 422-2899,https://oneharborchurch.com,https://www.usachurches.org/church/one-harbor-church.htm
Praise Church,Non-Denominational / Independent,Other Churches,"770 Cary Towne Blvd, Cary, NC 27513","770 Cary Towne Blvd, Cary, NC",27513,(919) 946-2940,,https://www.usachurches.org/church/praise-church.htm
"Cove Church, Statesville Campus",Non-Denominational / Independent,Other Churches,"474 North Center St, Statesville , NC 28677","474 North Center St, Statesville, NC",28677,(704) 655-3000,https://covechurch.org,https://www.usachurches.org/church/cove-church-statesville-campus.htm
The Edge,Non-Denominational / Independent,Other Churches,"11530 Langdon Rd, Angier, NC 27501","11530 Langdon Rd, Angier, NC",27501,(910) 897-4546,,https://www.usachurches.org/church/the-edge.htm
Eternity Church,Non-Denominational / Independent,Other Churches,"305 Rudolph Rd, Salisbury, NC 28147","305 Rudolph Rd, Salisbury, NC",28147,(704) 762-1463,,https://www.usachurches.org/church/eternity-church.htm
Metrolina Christian Center Church Of God In Christ,Church of God in Christ,Pentecostal Churches,"503 Maurice St, Monroe, NC 28112","503 Maurice St, Monroe, NC",28112,(704) 572-0876,https://mcccogic.my.canva.site/mcccogic,https://www.usachurches.org/church/metrolina-christian-center-church-of-god-in-christ.htm
Gaston Community Church,Associate Reformed Presbyterian Church,Presbyterian Churches,"2001 Gaston Day School Rd, Gastonia, NC 28056","2001 Gaston Day School Rd, Gastonia, NC",28056,(704) 860-7776,https://gastoncommunitychurch.com,https://www.usachurches.org/church/gaston-community-church.htm
New Life Triangle,Presbyterian Church U.S.A.,Presbyterian Churches,"3808 Edwards Mill Rd, Raleigh, NC 27612","3808 Edwards Mill Rd, Raleigh, NC",27612,(919) 443-0987,,https://www.usachurches.org/church/new-life-triangle.htm
