church_name,denomination,family,address,city_state,zip,phone,website,page_url
217church,Christian and Missionary Alliance,Holiness Churches,"234 Sharon Rd, Robbinsville, NJ 08691","234 Sharon Rd, Robbinsville, NJ",08691,(609) 619-0217,https://217church.com,https://www.usachurches.org/church/217church.htm
Monroe Community Church,United Methodist Church,Methodist Churches,"139 Stevens Ave, Jamesburg, NJ 08831","139 Stevens Ave, Jamesburg, NJ",08831,(732) 251-8995,,https://www.usachurches.org/church/monroe-community-church.htm
Grace Christian Fellowship of South Jersey,Non-Denominational / Independent,Other Churches,"632 S Pennsville Auburn Rd, Carneys Point, NJ 08069","632 S Pennsville Auburn Rd, Carneys Point, NJ",08069,(856) 376-3627,https://gracecfsj.com,https://www.usachurches.org/church/grace-christian-fellowship-of-south-jersey.htm
Yes Lord' Ministries,Non-Denominational / Independent,Other Churches,"10 S. Oraton Parkway, East Orange, NJ 07018","10 S. Oraton Parkway, East Orange, NJ",07018,(973) 399-0416,https://ylmconnect.org,https://www.usachurches.org/church/yes-lord-ministries.htm
United Faith Church,Non-Denominational / Independent,Other Churches,"1160 West Bay Ave, Barnegat, NJ 08005","1160 West Bay Ave, Barnegat, NJ",08005,(609) 698-7200,https://unitedfaithchurch.org,https://www.usachurches.org/church/united-faith-church.htm
Faith Christian Fellowship Center,Non-Denominational / Independent,Other Churches,"14 Scrapetown Rd, Pemberton, NJ 08068","14 Scrapetown Rd, Pemberton, NJ",08068,(609) 372-4138,https://faithcfc.org,https://www.usachurches.org/church/faithchristianfellowshipcenter.htm
"Oasis Church, Middlesex County",Non-Denominational / Independent,Other Churches,"1000 Corporate Ct, South Plainfield, NJ 07080","1000 Corporate Ct, South Plainfield, NJ",07080,(732) 586-3458,https://oasis-church-nj.com,https://www.usachurches.org/church/oasis-church-middlesex-county.htm
Grace Christian Church,Non-Denominational / Independent,Other Churches,"50 Waterworks Rd, Freehold, NJ 07728","50 Waterworks Rd, Freehold, NJ",07728,(732) 637-9052,https://njgrace.org,https://www.usachurches.org/church/grace-christian-church.htm
Upper Room Full Gospel Church,Non-Denominational / Independent,Other Churches,"121 Centennial Ave, Piscataway, NJ 08854","121 Centennial Ave, Piscataway, NJ",08854,(908) 226-1633,https://upperroomchurch.com,https://www.usachurches.org/church/upper-room-full-gospel-church.htm
Jesus Christ Ministries - AG,Assemblies of God,Pentecostal Churches,"810 Broad St, Clifton, NJ 07013","810 Broad St, Clifton, NJ",07013,(973) 458-1686,https://jcmchurch.com,https://www.usachurches.org/church/jesus-christ-ministries-ag.htm
Lifetree Community Church,Assemblies of God,Pentecostal Churches,"10 AM on Sundays at the Sharon Elementary School (234 Sharon Road, Robbinsville, NJ 08691","10 AM on Sundays at the Sharon Elementary School (234 Sharon Road, Robbinsville, NJ",08691,(609) 610-7374,https://lifetreecc.com,https://www.usachurches.org/church/lifetree-community-church.htm
