church_name,denomination,family,address,city_state,zip,phone,website,page_url
Inspiration Fellowship,Cooperative Baptist Fellowship,Baptist Churches,"300 N Third St, Hamilton, OH 45011","300 N Third St, Hamilton, OH",45011,(513) 878-0366,,https://www.usachurches.org/church/inspiration-fellowship.htm
Mercy Hill Church,Southern Baptist Convention,Baptist Churches,"244 Southern Ave, Cincinnati, OH 45219","244 Southern Ave, Cincinnati, OH",45219,(513) 427-5671,https://mercyhillcincy.com,https://www.usachurches.org/church/mercyhillchurch.htm
Covenant Church,Southern Baptist Convention,Baptist Churches,"30 & 11am inside AMC Theatre (4218 Buckeye Pkwy, Grove City, OH 43123","30 & 11am inside AMC Theatre (4218 Buckeye Pkwy, Grove City, OH",43123,(614) 594-9339,https://covenantchurch.us,https://www.usachurches.org/church/covenant-church-grove-city.htm
Capital City Grace Church,Fellowship of Grace Brethren Churches,Brethren Churches,"11 N Westmoor Ave, Columbus, OH 43204","11 N Westmoor Ave, Columbus, OH",43204,(614) 294-6213,https://capitalcitygrace.org,https://www.usachurches.org/church/capital-city-grace-church.htm
"Community of Hope Lutheran Church, Lakewood",Lutheran Church--Missouri Synod,Lutheran Churches,"1415 Lakeland Ave, Lakewood, OH 44107","1415 Lakeland Ave, Lakewood, OH",44107,(440) 792-4700,,https://www.usachurches.org/church/community-of-hope-lutheran-church-lakewood.htm
Abundant Life NALC,North American Lutheran Church,Lutheran Churches,"2494 Walker Rd, Hilliard, OH 43026","2494 Walker Rd, Hilliard, OH",43026,(614) 873-5081,https://abundantlifehilliard.org,https://www.usachurches.org/church/abundant-life-nalc.htm
Columbus Ambassadors for Christ,Interdenominational,Other Churches,"3750 Henderson Rd, Columbus, OH 43220","3750 Henderson Rd, Columbus, OH",43220,(614) 888-0491,https://mycafc.org,https://www.usachurches.org/church/columbus-ambassadors-for-christ.htm
Abundant Grace Fellowship,Non-Denominational / Independent,Other Churches,"50 people coming together on May 7, 2005 at the Homewood Suites Hotel in Solon, OH for worship and prayer. The following week, the Lord opened the door for worship at a larger facility, the Red Roof Inn, in Bedford Heights. Two months later AGF moved to the Mediterranean Center also in Bedford Heights, which could accommodate more adults and our Children's ministries. For three years, God blessed us to worship at the beautiful Park Synagogue, in Cleveland Heights, where the church met weekly on a large campus, with ample parking, a spacious auditorium. Today, we worship at a wonderful multi-purpose facility, Lutheran High School East, 3565 Mayfield Rd., in Cleveland Heights, OH 44118","50 people coming together on May 7, 2005 at the Homewood Suites Hotel in Solon, OH for worship and prayer. The following week, the Lord opened the door for worship at a larger facility, the Red Roof Inn, in Bedford Heights. Two months later AGF moved to the Mediterranean Center also in Bedford Heights, which could accommodate more adults and our Children's ministries. For three years, God blessed us to worship at the beautiful Park Synagogue, in Cleveland Heights, where the church met weekly on a large campus, with ample parking, a spacious auditorium. Today, we worship at a wonderful multi-purpose facility, Lutheran High School East, 3565 Mayfield Rd., in Cleveland Heights, OH",44118,(216) 462-0299,https://agfchurch.org,https://www.usachurches.org/church/abundant-grace-fellowship.htm
Grace Chapel,Non-Denominational / Independent,Other Churches,"300 W Lincolnway, Minerva, OH 44657","300 W Lincolnway, Minerva, OH",44657,(330) 868-6700,https://gracechapel.cc,https://www.usachurches.org/church/grace-chapel-minerva.htm
614 Church,Non-Denominational / Independent,Other Churches,"1680 Becket Ave, Columbus, OH 43235","1680 Becket Ave, Columbus, OH",43235,(312) 952-8011,https://614church.org,https://www.usachurches.org/church/614-church.htm
Full Truth Ministries,Non-Denominational / Independent,Other Churches,"35000 Portz Parkway, Cleveland, OH 44139","35000 Portz Parkway, Cleveland, OH",44139,(440) 915-9000,https://fulltruthministries.org,https://www.usachurches.org/church/full-tuth-ministries.htm
Medina Bible Church,Non-Denominational / Independent,Other Churches,"3593 Medina Rd #186, Medina, OH 44256","3593 Medina Rd #186, Medina, OH",44256,(330) 722-4847,https://thefountainofgrace.org,https://www.usachurches.org/church/the-fountain-of-grace-church.htm
Jubilee Christian Fellowship,Non-Denominational / Independent,Other Churches,"400 Hilltop Blvd, Canfield, OH 44406","400 Hilltop Blvd, Canfield, OH",44406,(330) 533-7730,https://jubileecf.com,https://www.usachurches.org/church/jubilee-christian-fellowship.htm
The Church at North Pointe,Non-Denominational / Independent,Other Churches,"455 Clark State Rd, Gahanna, OH 43230","455 Clark State Rd, Gahanna, OH",43230,(614) 390-6146,,https://www.usachurches.org/church/the-church-at-north-pointe.htm
Bright City Church,Non-Denominational / Independent,Other Churches,"777 Cheshire Rd, Sunbury, OH 43074","777 Cheshire Rd, Sunbury, OH",43074,(740) 936-5040,https://brightcitysunbury.com,https://www.usachurches.org/church/brightcitychurch.htm
Fountain Of Life Church,Non-Denominational / Independent,Other Churches,"927 South Street, Pataskala, OH 43062","927 South Street, Pataskala, OH",43062,(614) 986-7324,,https://www.usachurches.org/church/fountain-of-life-church.htm
Destiny Ministries,Non-Denominational / Independent,Other Churches,"150 Hereford Dr, Pickerington, OH 43147","150 Hereford Dr, Pickerington, OH",43147,(614) 833-4637,https://runtodmc.com,https://www.usachurches.org/church/destiny-ministries.htm
Christ Restoration Ministries,Non-Denominational / Independent,Other Churches,"900 East Dublin Granville Road, Columbus, OH 43229","900 East Dublin Granville Road, Columbus, OH",43229,(614) 307-3297,https://christrestoration.net,https://www.usachurches.org/church/christ-restoration-ministries.htm
Seasons of Life Church,Non-Denominational / Independent,Other Churches,"1988 Hummingbird Circle, Middletown, OH 45044","1988 Hummingbird Circle, Middletown, OH",45044,(513) 649-0520,,https://www.usachurches.org/church/seasons-of-life-church.htm
My Community Church,Non-Denominational / Independent,Other Churches,"39 (1282 N Main St, Marion, OH 43302","39 (1282 N Main St, Marion, OH",43302,(740) 244-0232,,https://www.usachurches.org/church/my-community-church.htm
Calvary Faith Fellowship,Non-Denominational / Independent,Other Churches,"00 PM for worship services. We meet at Eastgate Holiday Inn and Convention Center (4501 Eastgate Boulevard, Cincinnati, OH 45245","00 PM for worship services. We meet at Eastgate Holiday Inn and Convention Center (4501 Eastgate Boulevard, Cincinnati, OH",45245,(513) 659-0135,,https://www.usachurches.org/church/calvary-caith-fellowship.htm
Radiant Life Church,Assemblies of God,Pentecostal Churches,"7055 Avery Rd, Dublin, OH 43017","7055 Avery Rd, Dublin, OH",43017,(614) 889-8364,https://radiant.family,https://www.usachurches.org/church/radiant-life-church.htm
Central Vineyard,Association of Vineyard Churches,Pentecostal Churches,"100 Arcadia Ave, Columbus, OH 43202","100 Arcadia Ave, Columbus, OH",43202,(614) 327-5778,https://centralvineyard.com,https://www.usachurches.org/church/central-vineyard-columbus.htm
Jacob's Well Vineyard Church,Association of Vineyard Churches,Pentecostal Churches,"4606 Erie Avenue, Cincinnati, OH 45227","4606 Erie Avenue, Cincinnati, OH",45227,(513) 374-8463,,https://www.usachurches.org/church/jacobs-well-vineyard-church.htm
Concord Presbyterian Church,Presbyterian Church U.S.A.,Presbyterian Churches,"6571 Home Rd, Delaware, OH 43015","6571 Home Rd, Delaware, OH",43015,(740) 881-0946,https://concordfellowship.org,https://www.usachurches.org/church/concord-presbyterian-church.htm
