church_name,denomination,family,address,city_state,zip,phone,website,page_url
Redeeming Grace Church,Southern Baptist Convention,Baptist Churches,"1528 Hamilton Rd, Pittsburgh, PA 15234","1528 Hamilton Rd, Pittsburgh, PA",15234,(412) 525-2243,https://redeeminggracepittsburgh.com,https://www.usachurches.org/church/redeeming-grace-church.htm
Hope River Church of God,"Church of God (Anderson, IN)",Holiness Churches,"311 N Main St, Jersey Shore, PA 17740","311 N Main St, Jersey Shore, PA",17740,(570) 377-0485,https://hoperiverchurch.com,https://www.usachurches.org/church/hope-river-church-of-god.htm
Family House of Worship,Interdenominational,Other Churches,"207 Walnut St, Morgantown, PA 19543","207 Walnut St, Morgantown, PA",19543,(484) 798-8134,,https://www.usachurches.org/church/family-house-of-worship.htm
The Church of Jesus Christ,Non-Denominational / Independent,Other Churches,"1862 and is headquartered in Monongahela, Pennsylvania. Administrative offices are located at the World Operations Center, 110 Walton Tea Room Road, Greensburg, PA 15601","1862 and is headquartered in Monongahela, Pennsylvania. Administrative offices are located at the World Operations Center, 110 Walton Tea Room Road, Greensburg, PA",15601,(856) 206-9116,https://thechurchofjesuschrist.org,https://www.usachurches.org/church/the-church-of-jesus-christ.htm
Believers International Worship Center,Non-Denominational / Independent,Other Churches,"155 E 21st St, Erie, PA 16503","155 E 21st St, Erie, PA",16503,(814) 434-9992,https://biwcerie.org,https://www.usachurches.org/church/believersinternationalworshipcenter.htm
Life Church,Non-Denominational / Independent,Other Churches,"155 School Rd, Lancaster, PA 17601","155 School Rd, Lancaster, PA",17601,(717) 723-8720,https://lifechurchlancaster.org,https://www.usachurches.org/church/life-church-lancaster.htm
Epic Church,Non-Denominational / Independent,Other Churches,"00 a.m. and 10:15 a.m. (3720 Main St, Philadelphia, PA 19127). We also offer a service at 11:30 a.m. in Center City at The Suzanne Roberts Theatre (480 S Broad St, Philadelphia, PA 19146","00 a.m. and 10:15 a.m. (3720 Main St, Philadelphia, PA 19127). We also offer a service at 11:30 a.m. in Center City at The Suzanne Roberts Theatre (480 S Broad St, Philadelphia, PA",19146,(215) 525-9193,https://epicwired.net,https://www.usachurches.org/church/epic-church-philadelphia.htm
Christ Fellowship Prayer Tabernacle and Exacting Truth Ministries,Non-Denominational / Independent,Other Churches,"765 Eisenhower Blvd., Harrisburg, PA 17111","765 Eisenhower Blvd., Harrisburg, PA",17111,(717) 233-4223,https://exactingtruth.com,https://www.usachurches.org/church/christ-fellowship-prayer-tabernacle.htm
Freedom Church,Non-Denominational / Independent,Other Churches,"1412 Chestnut St, Philadelphia, PA 19102","1412 Chestnut St, Philadelphia, PA",19102,(267) 702-0743,https://freedomchurchphilly.org,https://www.usachurches.org/church/freedom-church-philadelphia.htm
Alabaster Box Worship and Arts Center,Non-Denominational / Independent,Other Churches,"5205 Milford Rd, East Stroudsburg, PA 18302","5205 Milford Rd, East Stroudsburg, PA",18302,(570) 688-7461,,https://www.usachurches.org/church/alabaster-box-worship-and-arts-center.htm
Shachah Ministries,Non-Denominational / Independent,Other Churches,"611 at Stadden Rd, Tannersville, PA 18372","611 at Stadden Rd, Tannersville, PA",18372,,,https://www.usachurches.org/church/shachah-ministries.htm
The Villa Chapel,Non-Denominational / Independent,Other Churches,"1201 Museum Road, Reading, PA 19611","1201 Museum Road, Reading, PA",19611,(610) 376-1074,,https://www.usachurches.org/church/the-villa-chapel.htm
Providence Church,Sovereign Grace Ministries,Other Churches,"2807 Bethel Church Road, Bethel Park, PA 95662","2807 Bethel Church Road, Bethel Park, PA",95662,(412) 942-1000,https://provchurch.org,https://www.usachurches.org/church/providence-church-pittsburgh.htm
Vineyard Trailblazers Church of State College,Association of Vineyard Churches,Pentecostal Churches,"424 West Pine Grove Rd, Pine Grove Mills, PA 16868","424 West Pine Grove Rd, Pine Grove Mills, PA",16868,(814) 826-4801,https://tblz.org,https://www.usachurches.org/church/vineyardtrailblazerschurchofstatecollege.htm
Rose Point Reformed Presbyterian Church,Reformed Presbyterian Church of North America,Presbyterian Churches,"468 Rose Point Rd, New Castle, PA 16101","468 Rose Point Rd, New Castle, PA",16101,(724) 924-9519,https://rosepointrpc.org,https://www.usachurches.org/church/rose-point-reformed-presbyterian-church.htm
