church_name,denomination,family,address,city_state,zip,phone,website,page_url
Covenant Baptist Church,Southern Baptist Convention,Baptist Churches,"19702 W Lake Houston Pkwy, Humble, TX 77346","19702 W Lake Houston Pkwy, Humble, TX",77346,(281) 928-4065,https://covenantbaptistchurch.cc,https://www.usachurches.org/church/church-at-the-cross.htm
Heart of Texas Church of Christ,Churches of Christ,Christian and Restorationist Churches,"711 Spring St, Bastrop, TX 78602","711 Spring St, Bastrop, TX",78602,(512) 409-8973,https://heartoftexaschurchofchrist.com,https://www.usachurches.org/church/heart-of-texas-church-of-christ.htm
Lonestar Church of Christ,Churches of Christ,Christian and Restorationist Churches,"9594 Volunteer Ave, Shiro, TX 77876","9594 Volunteer Ave, Shiro, TX",77876,(346) 225-4870,https://lonestarchurchofchrist.com,https://www.usachurches.org/church/lonestarchurchofchrist.htm
St. Edward the Confessor Holy Catholic Church Anglican Rite,Continuing Anglican,Episcopal and Anglican Churches,"1505 S. Main St., Lockhart, TX 78644","1505 S. Main St., Lockhart, TX",78644,(512) 644-5339,,https://www.usachurches.org/church/st-edward-the-confessor-holy-catholic-church-anglican-rite.htm
Celebrate Life Church,Church of the Nazarene,Holiness Churches,"23420 Cinco Ranch Boulevard, Katy, TX 77494","23420 Cinco Ranch Boulevard, Katy, TX",77494,(832) 606-2719,,https://www.usachurches.org/church/celebrate-life-church.htm
CrossWork Christian Center,African Methodist Episcopal Church,Methodist Churches,"4 Applegate Circle, Round Rock, TX 78664","4 Applegate Circle, Round Rock, TX",78664,(512) 238-6554,https://crossworkcc.org,https://www.usachurches.org/church/crosswork-christian-center.htm
Covenant United Methodist Church,United Methodist Church,Methodist Churches,"8455 Creekside Green Dr, Spring, TX 77389","8455 Creekside Green Dr, Spring, TX",77389,(855) 395-7075,https://covenantwoodlands.org,https://www.usachurches.org/church/covenant-united-methodist-church-spring.htm
Faith Fellowship & Christian Life Center,Interdenominational,Other Churches,"2900 East Elms Rd, Killeen, TX  76541","2900 East Elms Rd, Killeen, TX",76541,(254) 681-1085,https://myfaithfellowship.org,https://www.usachurches.org/church/faith-fellowship-and-christian-life-center.htm
Completed and Perfected Faith Church,Non-Denominational / Independent,Other Churches,"4951 Marsh Lane, Buda, TX 78610","4951 Marsh Lane, Buda, TX",78610,(512) 644-3712,,https://www.usachurches.org/church/completed-and-perfected-faith-church.htm
The Movement Church of San Antonio,Non-Denominational / Independent,Other Churches,"12828 San Pedro Ave, San Antonio, TX 78216","12828 San Pedro Ave, San Antonio, TX",78216,(210) 897-9787,https://mychurchmovement.com,https://www.usachurches.org/church/the-movement-church-of-san-antonio.htm
