church_name,denomination,family,address,city_state,zip,phone,website,page_url
New Beginnings Christian Community,American Baptist Churches in the USA,Baptist Churches,"1000 Belmont Ave, Charlottesville, VA 22902","1000 Belmont Ave, Charlottesville, VA",22902,(434) 872-0800,https://newbeginningschristiancommunity.com,https://www.usachurches.org/church/new-beginnings-christian-community.htm
Apple Valley Baptist Church,Southern Baptist Convention,Baptist Churches,"34 Westwood Rd, Berryville, VA 22611","34 Westwood Rd, Berryville, VA",22611,(703) 554-9681,,https://www.usachurches.org/church/apple-valley-baptist-church.htm
Grace Baptist Church of Arlington,Southern Baptist Convention,Baptist Churches,"700 S. Buchanan Street, Arlington, VA 22204","700 S. Buchanan Street, Arlington, VA",22204,(703) 623-0079,,https://www.usachurches.org/church/grace-baptist-church-of-arlington.htm
Journey Community Church,Non-Denominational / Independent,Other Churches,"42901 Waxpool Rd, Ashburn, VA 20148","42901 Waxpool Rd, Ashburn, VA",20148,(703) 994-7420,,https://www.usachurches.org/church/journeycommunitychurch.htm
Berean Bible Church,Non-Denominational / Independent,Other Churches,"1000 Chattanooga St, Chesapeake, VA 23320","1000 Chattanooga St, Chesapeake, VA",23320,(757) 541-2683,https://bereanbiblechurch.org,https://www.usachurches.org/church/berean-bible-church-chesapeake.htm
Exalt Church,Non-Denominational / Independent,Other Churches,"311 Kempsville Rd, Chesapeake, VA 23320","311 Kempsville Rd, Chesapeake, VA",23320,(757) 672-3200,https://exaltchurch.com,https://www.usachurches.org/church/exaltchurch.htm
Manna Church Stafford/Quantico,Non-Denominational / Independent,Other Churches,"1700 Courthouse Rd, Stafford, VA 22554","1700 Courthouse Rd, Stafford, VA",22554,(808) 366-9771,https://mannastafford.church,https://www.usachurches.org/church/mannachurchstaffordquantico.htm
Gateway Community Church,Non-Denominational / Independent,Other Churches,"42149 Greenstone Dr, Aldie, VA 20105","42149 Greenstone Dr, Aldie, VA",20105,(703) 327-2700,https://gatewaychurch.org,https://www.usachurches.org/church/gateway-community-church.htm
Freedom Community Church,Non-Denominational / Independent,Other Churches,"12980 Queen Chapel Rd, Woodbridge, VA 22193","12980 Queen Chapel Rd, Woodbridge, VA",22193,(703) 239-3504,https://findfreedomtoday.org,https://www.usachurches.org/church/life-community-church-va.htm
Now Faith Fellowship Church,Non-Denominational / Independent,Other Churches,"20 Salisbury Dr., Stafford, VA 22554","20 Salisbury Dr., Stafford, VA",22554,(888) 530-7838,,https://www.usachurches.org/church/now-faith-fellowship-church.htm
"Grace Bible Church, Lynnhaven",Non-Denominational / Independent,Other Churches,"2956 Ansol Lane, Virginia Beach, VA 23452","2956 Ansol Lane, Virginia Beach, VA",23452,(757) 496-5700,https://gracebible.church,https://www.usachurches.org/church/gracebiblechurchlynnhaven.htm
"Grace Bible Church, Norfolk",Non-Denominational / Independent,Other Churches,"15 AM or 11:15 AM, in person or online. Grace Bible Church is committed to the 757. Rather than being known for what we oppose, we strive to be known for what we support� families, racial unity, recovery, and education. As a non-denominational Christian church, we proudly serve Norfolk, Virginia Beach, and Chesapeake. You're invited to our Sunday services at our Norfolk Campus, located at 6401 Tidewater Dr, Norfolk, VA 23509","15 AM or 11:15 AM, in person or online. Grace Bible Church is committed to the 757. Rather than being known for what we oppose, we strive to be known for what we support� families, racial unity, recovery, and education. As a non-denominational Christian church, we proudly serve Norfolk, Virginia Beach, and Chesapeake. You're invited to our Sunday services at our Norfolk Campus, located at 6401 Tidewater Dr, Norfolk, VA",23509,(757) 496-5700,https://gracebible.church,https://www.usachurches.org/church/gracebiblechurchnorfolk.htm
Restore Community Church,Non-Denominational / Independent,Other Churches,"45980 Regal Plaza, Sterling, VA 20165","45980 Regal Plaza, Sterling, VA",20165,(703) 439-4858,,https://www.usachurches.org/church/restore-community-church.htm
The Master's House,Non-Denominational / Independent,Other Churches,"2500 E. Washington St., Suffolk, VA 23434","2500 E. Washington St., Suffolk, VA",23434,(757) 394-3377,,https://www.usachurches.org/church/the-masters-house.htm
New Beginnings Christian Church,Non-Denominational / Independent,Other Churches,"7411 Hoadly Rd, Manassas, VA 20112","7411 Hoadly Rd, Manassas, VA",20112,(703) 730-3931,https://newbcc.net,https://www.usachurches.org/church/new-beginnings-christian-church-manassas.htm
"Lighthouse Temple of God Ministries, Inc.",Non-Denominational / Independent,Other Churches,"1009 Davis Hwy, Mineral, VA 23117","1009 Davis Hwy, Mineral, VA",23117,(540) 223-2450,,https://www.usachurches.org/church/lighthouse-temple-of-god-ministries-inc.htm
Destiny Reachers Ministries,Church of God in Christ,Pentecostal Churches,"1500 North Military Highway, Norfolk, VA 23502","1500 North Military Highway, Norfolk, VA",23502,(757) 761-5555,,https://www.usachurches.org/church/destiny-reachers-ministries.htm
Dayspring Orthodox Presbyterian Church,Orthodox Presbyterian Church,Presbyterian Churches,"5485 Lee Highway (Route 29), New Baltimore (Warrenton), VA 20187","5485 Lee Highway (Route 29), New Baltimore (Warrenton), VA",20187,(703) 754-2929,,https://www.usachurches.org/church/dayspring-orthodox-presbyterian-church.htm
Emmanuel Presbyterian Church,Presbyterian Church in America,Presbyterian Churches,"3351 Fairfax Dr, Arlington, VA 22201","3351 Fairfax Dr, Arlington, VA",22201,(703) 525-5605,https://emmanuelarlington.org,https://www.usachurches.org/church/emmanuel-presbyterian-church.htm
