church_name,denomination,family,address,city_state,zip,phone,website,page_url
Heritage Baptist Church,Independent Baptist,Baptist Churches,"17931 64th Ave, Lynnwood, WA 98037","17931 64th Ave, Lynnwood, WA",98037,(425) 774-1275,https://heritage-baptist.com,https://www.usachurches.org/church/heritage-baptist-church-mill-creek.htm
Discovery Community Church,Southern Baptist Convention,Baptist Churches,"4902 S Alaska St, Tacoma, WA 98408","4902 S Alaska St, Tacoma, WA",98408,(253) 761-1357,https://discochurch.com,https://www.usachurches.org/church/discovery-community-church.htm
Alive Covenant Church,Evangelical Covenant Church,Brethren Churches,"18991 Front St NE, Poulsbo, WA 98370","18991 Front St NE, Poulsbo, WA",98370,(360) 697-4321,https://kitsapalive.com,https://www.usachurches.org/church/alivecovenantchurch.htm
New Creation Fellowship Bible Church,Interdenominational,Other Churches,"4347 S. Warner St., Tacoma, WA 98409","4347 S. Warner St., Tacoma, WA",98409,(253) 224-1246,,https://www.usachurches.org/church/new-creation-fellowship.htm
The Redemption Church,Non-Denominational / Independent,Other Churches,"8 (3505 Factoria Blvd SE, Bellevue, WA 98006","8 (3505 Factoria Blvd SE, Bellevue, WA",98006,(850) 207-0988,https://redemptionwashington.com,https://www.usachurches.org/church/theredemptionchurch.htm
Risen Hope Church,Non-Denominational / Independent,Other Churches,"14012 132nd Ave NE, Kirkland, WA 98034","14012 132nd Ave NE, Kirkland, WA",98034,(678) 948-6828,https://risenhope.cc,https://www.usachurches.org/church/risenhopechurch.htm
"City On A Hill Church, Central Campus",Non-Denominational / Independent,Other Churches,"33415 Military Rd S, Auburn, WA 98001","33415 Military Rd S, Auburn, WA",98001,(253) 927-2225,https://cityhill.tv,https://www.usachurches.org/church/city-on-a-hill-church-central-campus.htm
"New Hope, A Gathering Place",Non-Denominational / Independent,Other Churches,"2100 N National Ave, Chehalis, WA 98532","2100 N National Ave, Chehalis, WA",98532,(360) 388-6523,,https://www.usachurches.org/church/new-hope-a-gathering-place.htm
"City On A Hill Church, North Campus",Non-Denominational / Independent,Other Churches,"14520 100th Ave NE, Bothell, WA 98011","14520 100th Ave NE, Bothell, WA",98011,(253) 927-2225,https://cityhill.tv,https://www.usachurches.org/church/city-on-a-hill-church-north-campus.htm
Burn Road Bible Church,Non-Denominational / Independent,Other Churches,"18212 Engebretsen Rd, Granite Falls, WA 98252","18212 Engebretsen Rd, Granite Falls, WA",98252,(360) 691-4944,https://burnroadbiblechurch.com,https://www.usachurches.org/church/burn-road-bible-church.htm
Elevate Church,Non-Denominational / Independent,Other Churches,"1900 Northwest Bliss Rd, Vancouver, WA 98685","1900 Northwest Bliss Rd, Vancouver, WA",98685,(360) 200-8989,,https://www.usachurches.org/church/elevate-church.htm
"Christ the King Community Church, Sedro-Woolley",Non-Denominational / Independent,Other Churches,"703 Pacific St, Sedro-Woolley, WA 98284","703 Pacific St, Sedro-Woolley, WA",98284,(360) 853-2039,https://swctk.com,https://www.usachurches.org/church/christ-the-king-community-church-sedro-woolley.htm
New Day Church,Non-Denominational / Independent,Other Churches,"4402 Nassau Ave NE, Tacoma, WA 98422","4402 Nassau Ave NE, Tacoma, WA",98422,(253) 250-9934,https://newdaynw.com,https://www.usachurches.org/church/new-day-church.htm
Columbia River Bible Fellowship,Non-Denominational / Independent,Other Churches,"11613 SE 7th St, Vancouver, WA 98683","11613 SE 7th St, Vancouver, WA",98683,(360) 566-7164,https://crbible.org,https://www.usachurches.org/church/columbia-river-bible-fellowship.htm
Christ Our Redeemer Church,Sovereign Grace Ministries,Other Churches,"2206 NW 99th St, Vancouver, WA 98665","2206 NW 99th St, Vancouver, WA",98665,(360) 213-5325,,https://www.usachurches.org/church/christ-our-redeemer-church.htm
