church_name,denomination,address,city,state,zip,phone,website,email,source_url
2nd Mile Church,Southern Baptist Convention,,,,,(931) 332-6288,https://www.google.com/maps/place/+Clarksville+TN+37040-3114,,https://churches.sbc.net/church/2nd-mile-church/
18th Street Community Church,Southern Baptist Convention,,,,,(814) 330-8197,https://www.google.com/maps/place/+Altoona+PA+16601-2509,,https://churches.sbc.net/church/18th-street-community-church/
10:02 Church,Southern Baptist Convention,,,,,(407) 987-1718,https://www.google.com/maps/place/+Oviedo+FL+32765-9642,,https://churches.sbc.net/church/1002-church/
3:18 Church,Southern Baptist Convention,,,,,(817) 805-4250,https://www.google.com/maps/place/+Shreveport+LA+71101-3711,,https://churches.sbc.net/church/318-church/
12 Stones Baptist Church,Southern Baptist Convention,,,,,(270) 763-6565,https://www.google.com/maps/place/+Elizabethtown+KY+42701-5199,,https://churches.sbc.net/church/12-stones-baptist-church/
3 Crosses Cowboy Church,Southern Baptist Convention,,,,,0408000547,https://www.google.com/maps/place/+Mountain View+AR+72560,,https://churches.sbc.net/church/3-crosses-cowboy-church/
1 Iglesia Bautista Hispana,Southern Baptist Convention,,,,,(828) 557-4843,https://www.google.com/maps/place/+Murphy+NC+28906-9116,,https://churches.sbc.net/church/1-iglesia-bautista-hispana/
"2 Cities Church, Inc.",Southern Baptist Convention,,,,,(706) 780-6898,https://www.google.com/maps/place/+Columbus+GA+31907-5670,,https://churches.sbc.net/church/2-cities-church-inc/
"1 Church Loganville, Inc.",Southern Baptist Convention,,,,,(678) 527-9220,https://www.google.com/maps/place/+Loganville+GA+30052-2909,,https://churches.sbc.net/church/1-church-loganville-inc/
121 Community Church,Southern Baptist Convention,,,,,817-488-1213,https://www.google.com/maps/place/+Grapevine+TX+76051-3823,,https://churches.sbc.net/church/121-community-church/
1st Laotian Bapitst Chapel,Southern Baptist Convention,,,,,419-693-2688,https://www.google.com/maps/place/+Toledo+OH+43605-3009,,https://churches.sbc.net/church/1st-laotian-bapitst-chapel/
21st Century Baptist Church,Southern Baptist Convention,,,,,(912) 980-5427,https://www.google.com/maps/place/+Anaheim+CA+92801-3747,,https://churches.sbc.net/church/21st-century-baptist-church/
19th Ave. Japanese Baptist Church,Southern Baptist Convention,,,,,(415) 566-5344,https://www.google.com/maps/place/+San Francisco+CA+94122-1812,,https://churches.sbc.net/church/19th-ave-japanese-baptist-church/
5 Eleven Church,Southern Baptist Convention,,,,,(321) 432-0221,https://www.google.com/maps/place/+Melbourne+FL+32934-7202,,https://churches.sbc.net/church/5-eleven-church/
21st Century Mission Church,Southern Baptist Convention,,,,,(425) 948-8484,https://www.google.com/maps/place/+Issaquah+WA+98029-9221,,https://churches.sbc.net/church/21st-century-mission-church/
2:3 Ministries,Southern Baptist Convention,,,,,(440) 368-8819,https://www.google.com/maps/place/+Avon+OH+44011-1312,,https://churches.sbc.net/church/23-ministries/
3 C Cowboy Fellowship,Southern Baptist Convention,,,,,254-947-7211,https://www.google.com/maps/place/+Salado+TX+76571,,https://churches.sbc.net/church/3-c-cowboy-fellowship/
3:18 Fellowship,Southern Baptist Convention,,,,,(615) 804-0152,https://www.google.com/maps/place/+Mt Juliet+TN+37122-6319,,https://churches.sbc.net/church/318-fellowship/
A New Direction Baptist Church,Southern Baptist Convention,,,,,(281) 832-9067,https://www.google.com/maps/place/+Crosby+TX+77532-3641,,https://churches.sbc.net/church/a-new-direction-baptist-church/
1st Cowboy Church of Burnet,Southern Baptist Convention,,,,,(512) 756-4349,https://www.google.com/maps/place/+Bertram+TX+78605-4728,,https://churches.sbc.net/church/1st-cowboy-church-of-burnet/
"168 (One, Six, Eight) Community Church",Southern Baptist Convention,,,,,7723889999,https://www.google.com/maps/place/+Downers Grove+IL+60516-2313,,https://churches.sbc.net/church/168-one-six-eight-community-church/
4C Fellowship,Southern Baptist Convention,,,,,(972) 398-1170,https://www.google.com/maps/place/+Plano+TX+75075,,https://churches.sbc.net/church/4c-fellowship/
5 Bridges Church,Southern Baptist Convention,,,,,(850) 234-0488,https://www.google.com/maps/place/+P C Beach+FL+32413-6015,,https://churches.sbc.net/church/5-bridges-church/
3 C Cowboy Church,Southern Baptist Convention,,,,,(832) 309-1627,https://www.google.com/maps/place/+Baytown+TX+77521,,https://churches.sbc.net/church/3-c-cowboy-church/
4 Points Church,Southern Baptist Convention,,,,,(864) 606-3600,https://www.google.com/maps/place/+Greer+SC+29651-7282,,https://churches.sbc.net/church/4-points-church/
3Circle Church (Main Campus),Southern Baptist Convention,,,,,(251) 990-3112,https://www.google.com/maps/place/+Fairhope+AL+36532-4308,,https://churches.sbc.net/church/3circle-church-main-campus/
411 Chapel Baptist Church,Southern Baptist Convention,,,,,(423) 442-9646,https://www.google.com/maps/place/+Madisonville+TN+37354-1522,,https://churches.sbc.net/church/411-chapel-baptist-church/
"5 Points Church, Inc.",Southern Baptist Convention,,,,,(706) 461-3447,https://www.google.com/maps/place/+Athens+GA+30605-5123,,https://churches.sbc.net/church/5-points-church-inc/
5 Point Fellowship,Southern Baptist Convention,,,,,864-850-0580,https://www.google.com/maps/place/+Easley+SC+29642-1040,,https://churches.sbc.net/church/5-point-fellowship/
5th Avenue Fellowship,Southern Baptist Convention,,,,,(980) 253-8025,https://www.google.com/maps/place/+Gastonia+NC+28052-3908,,https://churches.sbc.net/church/5th-avenue-fellowship/
A Church Without Walls,Southern Baptist Convention,,,,,(936) 332-3501,https://www.google.com/maps/place/+Huntsville+TX+77340-4555,,https://churches.sbc.net/church/a-church-without-walls/
701 Korean Church,Southern Baptist Convention,,,,,(434) 386-7665,https://www.google.com/maps/place/+Lynchburg+VA+24502,,https://churches.sbc.net/church/701-korean-church/
7M Ministries @ New Beginning,Southern Baptist Convention,,,,,(334) 298-9791,https://www.google.com/maps/place/+Phenix City+AL+36867-4723,,https://churches.sbc.net/church/7m-ministries-new-beginning/
A Life Baptist Church,Southern Baptist Convention,,,,,(972) 266-7357,https://www.google.com/maps/place/+Grand Prairie+TX+75050-3754,,https://churches.sbc.net/church/a-life-baptist-church/
903 Community Church,Southern Baptist Convention,,,,,(903) 330-0779,https://www.google.com/maps/place/+Flint+TX+75762-3705,,https://churches.sbc.net/church/903-community-church/
A Loving Grace Ministry,Southern Baptist Convention,,,,,(615) 638-6432,https://www.google.com/maps/place/+Nashville+TN+37208-2551,,https://churches.sbc.net/church/a-loving-grace-ministry/
A New Beginning Community Baptist,Southern Baptist Convention,,,,,210-436-4000,https://www.google.com/maps/place/+San Antonio+TX+78237-1866,,https://churches.sbc.net/church/a-new-beginning-community-baptist/
Abundant Hope Baptist Church,Southern Baptist Convention,,,,,304-638-6828,https://www.google.com/maps/place/+Barboursville+WV+25504,,https://churches.sbc.net/church/abundant-hope-baptist-church/
"A One Eight Church, San Antonio",Southern Baptist Convention,,,,,(972) 978-2124,https://www.google.com/maps/place/+San Antonio+TX+78230,,https://churches.sbc.net/church/a-one-eight-church-san-antonio/
Aaron&#8217;s Creek Baptist,Southern Baptist Convention,,,,,6575470000,https://www.google.com/maps/place/+Virgilina+VA+24598-3102,,https://churches.sbc.net/church/aarons-creek-baptist/
A Fresh Wind Church,Southern Baptist Convention,,,,,440-984-7276,https://www.google.com/maps/place/+Amherst+OH+44001,,https://churches.sbc.net/church/a-fresh-wind-church/
Abba&#8217;s House,Southern Baptist Convention,,,,,(423) 877-6462,https://www.google.com/maps/place/+Hixson+TN+37343-3929,,https://churches.sbc.net/church/abbas-house/
A Prayer Away,Southern Baptist Convention,,,,,(602) 908-8964,https://www.google.com/maps/place/+Phoenix+AZ+85041-3735,,https://churches.sbc.net/church/a-prayer-away/
Abbeville First Baptist Church,Southern Baptist Convention,,,,,864-366-2597,https://www.google.com/maps/place/+Abbeville+SC+29620-1758,,https://churches.sbc.net/church/abbeville-first-baptist-church/
Abbeville First Baptist Church,Southern Baptist Convention,,,,,(334) 585-2367,https://www.google.com/maps/place/+Abbeville+AL+36310-2409,,https://churches.sbc.net/church/abbeville-first-baptist-church-2/
Abbie,Southern Baptist Convention,,,,,7233999999,https://www.google.com/maps/place/+Leighton+AL+35646-3029,,https://churches.sbc.net/church/abbie/
"Abbeville Lebanon Baptist Church, Inc.",Southern Baptist Convention,,,,,(229) 457-4206,https://www.google.com/maps/place/+Abbeville+GA+31001-6911,,https://churches.sbc.net/church/abbeville-lebanon-baptist-church-inc/
Abbott Baptist Church,Southern Baptist Convention,,,,,(479) 252-0775,https://www.google.com/maps/place/+Mansfield+AR+72944,,https://churches.sbc.net/church/abbott-baptist-church/
"Abbott Baptist Church, Abbott",Southern Baptist Convention,,,,,(254) 709-0188,https://www.google.com/maps/place/+Abbott+TX+76621,,https://churches.sbc.net/church/abbott-baptist-church-abbott/
Abundant Life Christian Fellowship,Southern Baptist Convention,,,,,808-542-7775,https://www.google.com/maps/place/+Ewa Beach+HI+96706,,https://churches.sbc.net/church/abundant-life-christian-fellowship-2/
Abounding Grace Ministries,Southern Baptist Convention,,,,,(603) 742-7550,https://www.google.com/maps/place/+Rochester+NH+03867,,https://churches.sbc.net/church/abounding-grace-ministries/
"Abundant Faith Baptist Church, Humble",Southern Baptist Convention,,,,,(346) 345-2198,https://www.google.com/maps/place/+Humble+TX+77338-4126,,https://churches.sbc.net/church/abundant-faith-baptist-church-humble/
Abney Memorial Baptist Church,Southern Baptist Convention,,,,,864-227-8601,https://www.google.com/maps/place/+Greenwood+SC+29646-1156,,https://churches.sbc.net/church/abney-memorial-baptist-church/
Above and Beyond Fellowship Church,Southern Baptist Convention,,,,,281-355-6161,https://www.google.com/maps/place/+Spring+TX+77388-3709,,https://churches.sbc.net/church/above-and-beyond-fellowship-church/
Abounding Hope Baptist Church,Southern Baptist Convention,,,,,573-674-1004,https://www.google.com/maps/place/+Licking+MO+65542-9898,,https://churches.sbc.net/church/abounding-hope-baptist-church/
Abundant Grace Baptist Church,Southern Baptist Convention,,,,,(757) 569-9700,https://www.google.com/maps/place/+Franklin+VA+23851-5123,,https://churches.sbc.net/church/abundant-grace-baptist-church/
Abundant Grace Korean Baptist Church,Southern Baptist Convention,,,,,(571) 581-4284,https://www.google.com/maps/place/+Burke+VA+22015-3909,,https://churches.sbc.net/church/abundant-grace-korean-baptist-church/
Abundant Hope Baptist Church,Southern Baptist Convention,,,,,(252) 465-1121,https://www.google.com/maps/place/+Gates+NC+27937-9761,,https://churches.sbc.net/church/abundant-hope-baptist-church-2/
Abundant Life Baptist Church,Southern Baptist Convention,,,,,(479) 414-5504,https://www.google.com/maps/place/+Van Buren+AR+72956,,https://churches.sbc.net/church/abundant-life-baptist-church-3/
Abundant Life Baptist Church,Southern Baptist Convention,,,,,304-547-4370,https://www.google.com/maps/place/+Triadelphia+WV+26059-9631,,https://churches.sbc.net/church/abundant-life-baptist-church-4/
"Abundant Life Baptist Church, Inc.",Southern Baptist Convention,,,,,(706) 371-7536,https://www.google.com/maps/place/+Hartwell+GA+30643-8439,,https://churches.sbc.net/church/abundant-life-baptist-church-inc/
Abundant Life Blue Springs Campus,Southern Baptist Convention,,,,,(816) 554-8181,https://www.google.com/maps/place/+Blue Springs+MO+64014-3539,,https://churches.sbc.net/church/abundant-life-blue-springs-campus/
Abundant Life Christian Fellowship,Southern Baptist Convention,,,,,210-286-4542,https://www.google.com/maps/place/+San Antonio+TX+78220,,https://churches.sbc.net/church/abundant-life-christian-fellowship/
Abundant Life Baptist Church,Southern Baptist Convention,,,,,816-554-8181,https://www.google.com/maps/place/+Lees Summit+MO+64081-2803,,https://churches.sbc.net/church/abundant-life-baptist-church/
Abundant Life Baptist Church,Southern Baptist Convention,,,,,(270) 733-6445,https://www.google.com/maps/place/+Utica+KY+42376-9542,,https://churches.sbc.net/church/abundant-life-baptist-church-2/
"Abundant Life Community Church, Inc.",Southern Baptist Convention,,,,,440-877-1202,https://www.google.com/maps/place/+North Royalton+OH+44133-4468,,https://churches.sbc.net/church/abundant-life-community-church-inc/
Abundant Life Church,Southern Baptist Convention,,,,,(580) 782-3009,https://www.google.com/maps/place/+Mangum+OK+73554-4617,,https://churches.sbc.net/church/abundant-life-church/
Abundant Life Korean,Southern Baptist Convention,,,,,(213) 369-3700,https://www.google.com/maps/place/+Overland Park+KS+66212-3014,,https://churches.sbc.net/church/abundant-life-korean/
"Abundante Gracia, Lubbock",Southern Baptist Convention,,,,,(806) 799-3832,https://www.google.com/maps/place/+Lubbock+TX+79416-4454,,https://churches.sbc.net/church/abundante-gracia-lubbock/
Abundant Life Fellowship Church,Southern Baptist Convention,,,,,(901) 275-5784,https://www.google.com/maps/place/+Memphis+TN+38128,,https://churches.sbc.net/church/abundant-life-fellowship-church/
Abyssinian Baptist Church of Christ,Southern Baptist Convention,,,,,(954) 593-2047,https://www.google.com/maps/place/+Pompano Beach+FL+33060-5906,,https://churches.sbc.net/church/abyssinian-baptist-church-of-christ/
Abundant Living Church,Southern Baptist Convention,,,,,7023429999,https://www.google.com/maps/place/+Jersey City+NJ+07305,,https://churches.sbc.net/church/abundant-living-church/
Abundant Life In Christ Church,Southern Baptist Convention,,,,,(440) 487-2110,https://www.google.com/maps/place/+Nova+OH+44859-9726,,https://churches.sbc.net/church/abundant-life-in-christ-church/
Academy Baptist Church,Southern Baptist Convention,,,,,7544329999,https://www.google.com/maps/place/+Sulligent+AL+35586-3200,,https://churches.sbc.net/church/academy-baptist-church-2/
Abundant Life Church,Southern Baptist Convention,,,,,(513) 746-7063,https://www.google.com/maps/place/+West Chester+OH+45069,,https://churches.sbc.net/church/abundant-life-church-2/
"Academy Baptist Church of Jefferson, Georgia, Inc.",Southern Baptist Convention,,,,,(706) 367-4652,https://www.google.com/maps/place/+Jefferson+GA+30549,,https://churches.sbc.net/church/academy-baptist-church-of-jefferson-georgia-inc/
Acts2Fellowship Irvine,Southern Baptist Convention,,,,,(510) 318-4871,https://www.google.com/maps/place/+Irvine+CA+92612,,https://churches.sbc.net/church/acts2fellowship-irvine/
Ackerman Baptist Church,Southern Baptist Convention,,,,,662-285-3211,https://www.google.com/maps/place/+Ackerman+MS+39735-9202,,https://churches.sbc.net/church/ackerman-baptist-church/
Academy Baptist Church,Southern Baptist Convention,,,,,(662) 685-4200,https://www.google.com/maps/place/+Blue Mountain+MS+38610-9797,,https://churches.sbc.net/church/academy-baptist-church/
Acorn Baptist Church,Southern Baptist Convention,,,,,(479) 243-6648,https://www.google.com/maps/place/+Mena+AR+71953-8572,,https://churches.sbc.net/church/acorn-baptist-church-2/
"Achaia Missionary Baptist Church, Inc.",Southern Baptist Convention,,,,,(770) 227-1937,https://www.google.com/maps/place/+Griffin+GA+30223-1040,,https://churches.sbc.net/church/achaia-missionary-baptist-church-inc/
Across the Way Baptist Church,Southern Baptist Convention,,,,,(806) 747-9020,https://www.google.com/maps/place/+Lubbock+TX+79403-4505,,https://churches.sbc.net/church/across-the-way-baptist-church/
Acorn Hill Baptist Church,Southern Baptist Convention,,,,,(252) 823-6360,https://www.google.com/maps/place/+Tarboro+NC+27886-8034,,https://churches.sbc.net/church/acorn-hill-baptist-church/
Acorn Baptist Church,Southern Baptist Convention,,,,,4954674055,https://www.google.com/maps/place/+Somerset+KY+42501-5519,,https://churches.sbc.net/church/acorn-baptist-church/
